Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
jonathan burkardt,Mainz 05,266,67.5,207,77.8,113,64.6,35,57.1,2.1,1.0,-0.1,20,8,5,2023-2024,bundesliga
oliver burke,Werder Bremen,6,50.0,4,50.0,6,66.7,1,0.0,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
marnon busch,Heidenheim,282,68.6,140,84.3,172,72.1,78,48.7,0.3,0.5,-0.3,32,9,2,2023-2024,bundesliga
aurelio buta,Eint Frankfurt,875,78.7,570,88.1,378,77.5,96,49.0,0.7,1.7,0.3,71,26,6,2023-2024,bundesliga
anthony caci,Mainz 05,1118,73.4,531,84.4,626,77.3,290,57.6,2.9,3.5,0.1,123,39,14,2023-2024,bundesliga
emre can,Dortmund,1286,87.4,603,90.4,656,91.9,157,72.6,1.5,1.3,0.5,110,8,0,2023-2024,bundesliga
irvin cardona,Augsburg,8,53.3,4,100.0,9,44.4,1,0.0,0.0,0.1,0.0,1,0,0,2023-2024,bundesliga
rasmus carstensen,Köln,594,71.8,386,85.5,302,76.5,69,33.3,2.6,3.3,-2.6,27,20,9,2023-2024,bundesliga
fabio carvalho,RB Leipzig,72,78.3,60,90.0,21,66.7,5,40.0,0.2,0.2,-0.2,6,6,1,2023-2024,bundesliga
koen casteels,Wolfsburg,688,72.5,105,99.0,305,98.4,535,52.9,0.2,0.1,-0.2,29,0,0,2023-2024,bundesliga
vaclav cerny,Wolfsburg,255,70.1,173,83.8,109,65.1,45,53.3,0.9,2.5,0.1,21,21,2,2023-2024,bundesliga
julian chabot,Köln,1361,84.2,548,90.9,798,90.9,245,51.8,0.4,1.5,-0.4,81,5,1,2023-2024,bundesliga
el chadaille bitshiabu,RB Leipzig,48,81.4,26,92.3,22,77.3,9,77.8,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
fares chaibi,Eint Frankfurt,592,64.2,382,79.3,285,67.0,180,40.6,6.8,6.1,-2.8,57,39,10,2023-2024,bundesliga
timothy chandler,Eint Frankfurt,18,69.2,8,87.5,12,75.0,4,50.0,0.1,0.1,0.9,2,1,0,2023-2024,bundesliga
fabio chiarodia,Gladbach,78,89.7,46,93.5,35,94.3,6,33.3,0.1,0.2,-0.1,3,1,1,2023-2024,bundesliga
jacob christensen,Köln,66,77.6,32,87.5,38,81.6,13,46.2,0.1,0.1,-0.1,8,1,0,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,61,81.3,26,88.5,39,89.7,7,28.6,0.0,0.1,0.0,8,0,0,2023-2024,bundesliga
kingsley coman,Bayern Munich,528,81.6,330,86.4,233,88.4,45,57.8,3.8,4.5,-0.8,19,41,8,2023-2024,bundesliga
bambase conte,Hoffenheim,19,79.2,15,93.3,6,66.7,3,33.3,0.0,0.0,0.0,3,1,0,2023-2024,bundesliga
danny da costa,Mainz 05,317,67.4,177,81.4,193,65.3,69,53.6,1.2,1.3,-0.2,27,16,9,2023-2024,bundesliga
nicolas cozza,Wolfsburg,147,76.6,88,86.4,79,77.2,18,44.4,0.1,0.2,-0.1,19,2,2,2023-2024,bundesliga
tomas cvancara,Gladbach,137,63.4,133,68.4,53,67.9,3,100.0,0.7,0.8,0.3,7,4,2,2023-2024,bundesliga
finn dahmen,Augsburg,1025,76.2,168,98.8,566,98.2,600,49.8,0.1,0.2,-0.1,44,1,0,2023-2024,bundesliga
mahmoud dahoud,Stuttgart,205,87.2,126,92.9,71,88.7,24,66.7,0.5,0.9,-0.5,19,3,1,2023-2024,bundesliga
lukas daschner,Bochum,107,59.8,90,71.1,49,61.2,17,17.6,1.0,1.2,0.0,8,7,2,2023-2024,bundesliga
david datro fofana,Union Berlin,106,69.7,83,78.3,39,64.1,10,90.0,0.3,0.3,-0.3,5,8,2,2023-2024,bundesliga
alphonso davies,Bayern Munich,1440,87.7,929,91.2,589,91.0,52,51.9,2.9,3.3,2.1,88,31,7,2023-2024,bundesliga
olivier deman,Werder Bremen,543,74.4,284,85.9,289,78.2,111,56.8,0.9,1.3,0.1,34,15,8,2023-2024,bundesliga
ermedin demirovic,Augsburg,371,64.6,289,69.9,165,78.2,14,57.1,3.9,3.7,5.1,40,17,1,2023-2024,bundesliga
sepp van den berg,Mainz 05,1190,81.0,497,84.7,764,86.0,163,57.7,0.3,0.4,-0.3,86,4,0,2023-2024,bundesliga
samuele di benedetto,Stuttgart,10,90.9,7,100.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
justin diehl,Köln,41,64.1,25,84.0,20,65.0,14,35.7,0.2,0.2,-0.2,1,2,1,2023-2024,bundesliga
eric dier,Bayern Munich,1042,91.2,352,92.9,639,95.6,134,76.1,0.1,0.4,-0.1,61,1,1,2023-2024,bundesliga
