Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
bruno guimaraes,Newcastle Utd,1941,83.9,1011,90.5,902,87.5,285,63.5,6.4,6.3,1.6,184,70,5,2023-2024,premier-league
malo gusto,Chelsea,1230,86.4,829,91.8,454,86.8,73,65.8,4.3,3.3,1.7,49,29,13,2023-2024,premier-league
josko gvardiol,Manchester City,1671,87.1,1010,92.2,695,88.9,107,72.0,1.4,2.1,-0.4,141,16,3,2023-2024,premier-league
erling haaland,Manchester City,295,76.0,242,81.4,70,80.0,8,62.5,4.3,2.2,0.7,16,11,0,2023-2024,premier-league
antwoine hackford,Sheffield Utd,2,100.0,2,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
lewis hall,Newcastle Utd,452,81.9,248,92.3,220,84.5,61,54.1,0.3,0.7,-0.3,41,3,1,2023-2024,premier-league
gustavo hamer,Sheffield Utd,756,68.5,451,82.7,345,77.1,222,36.0,6.1,4.6,-0.1,94,37,7,2023-2024,premier-league
luke harris,Fulham,11,78.6,8,62.5,4,100.0,1,100.0,0.0,0.0,0.0,0,1,0,2023-2024,premier-league
jack harrison,Everton,409,64.8,291,83.5,195,65.1,73,31.5,3.4,3.3,-0.4,37,34,11,2023-2024,premier-league
daiki hashioka,Luton Town,227,80.5,108,93.5,126,84.9,34,47.1,0.7,0.3,-0.7,14,4,3,2023-2024,premier-league
kai havertz,Arsenal,764,80.0,609,86.2,245,79.6,15,46.7,4.4,4.3,2.6,65,29,1,2023-2024,premier-league
jan paul van hecke,Brighton,2225,92.1,991,94.8,1181,93.9,186,73.1,0.9,1.1,-0.9,156,10,1,2023-2024,premier-league
hwang heechan,Wolves,424,77.0,312,82.1,162,80.9,21,61.9,3.0,2.9,0.0,19,7,2,2023-2024,premier-league
dean henderson,Crystal Palace,280,57.7,78,96.2,123,97.6,277,29.2,0.0,0.0,0.0,9,1,0,2023-2024,premier-league
rico henry,Brentford,147,80.3,94,87.2,61,83.6,19,57.9,1.0,0.8,0.0,10,7,2,2023-2024,premier-league
son heungmin,Tottenham,887,82.5,609,87.2,338,87.9,38,60.5,11.8,8.3,-1.8,40,65,2,2023-2024,premier-league
aaron hickey,Brentford,243,87.7,140,95.7,106,86.8,20,70.0,0.1,0.1,-0.1,10,2,0,2023-2024,premier-league
james hill,Bournemouth,28,66.7,16,81.3,13,61.5,10,50.0,0.0,0.0,0.0,6,0,0,2023-2024,premier-league
jack hinshelwood,Brighton,418,83.9,267,87.3,175,89.1,22,40.9,0.7,0.4,-0.7,24,5,1,2023-2024,premier-league
mason holgate,Sheffield Utd,138,65.4,83,78.3,78,66.7,44,43.2,0.4,0.2,-0.4,17,2,2,2023-2024,premier-league
callum hudsonodoi,Nott'ham Forest,576,78.0,361,90.6,251,74.5,83,55.4,2.8,2.5,-1.8,20,32,8,2023-2024,premier-league
will hughes,Crystal Palace,731,83.3,436,89.2,317,88.6,62,43.5,1.1,1.8,-0.1,71,16,2,2023-2024,premier-league
pierre hjbjerg,Tottenham,1234,87.2,718,90.8,480,91.7,142,70.4,1.2,1.5,-1.2,160,12,1,2023-2024,premier-league
rasmus hjlund,Manchester Utd,304,75.6,247,80.6,77,75.3,12,91.7,1.6,0.9,0.4,14,14,1,2023-2024,premier-league
igor,Brighton,1398,93.4,742,96.2,640,96.1,68,72.1,0.7,0.5,-0.7,123,2,0,2023-2024,premier-league
danny ings,West Ham,76,71.0,50,80.0,24,79.2,8,12.5,0.3,0.3,-0.3,2,3,0,2023-2024,premier-league
tim iroegbunam,Aston Villa,51,92.7,31,96.8,20,95.0,0,,0.0,0.0,0.0,1,0,0,2023-2024,premier-league
alexander isak,Newcastle Utd,385,78.1,280,84.6,142,82.4,22,68.2,3.7,2.8,-1.7,28,21,0,2023-2024,premier-league
alex iwobi,Everton,27,64.3,14,92.9,10,70.0,15,46.7,0.2,0.4,-0.2,1,3,1,2023-2024,premier-league
alex iwobi,Fulham,821,78.1,451,88.7,403,80.6,118,55.9,4.7,4.0,-2.7,84,46,8,2023-2024,premier-league
nicolas jackson,Chelsea,515,77.3,386,83.7,164,76.8,27,74.1,4.3,2.9,0.7,40,21,0,2023-2024,premier-league
reece james,Chelsea,275,80.6,163,88.3,130,80.0,34,55.9,1.7,1.6,0.3,21,6,3,2023-2024,premier-league
vitaly janelt,Brentford,1088,77.8,666,86.9,496,79.4,156,53.8,4.8,3.7,-1.8,107,32,15,2023-2024,premier-league
daniel jebbison,Sheffield Utd,1,33.3,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
mathias jensen,Brentford,875,72.8,423,85.6,439,76.8,268,56.7,4.0,4.8,-1.0,88,41,11,2023-2024,premier-league
gabriel jesus,Arsenal,403,78.6,306,84.6,140,79.3,16,62.5,3.8,3.2,1.2,18,19,1,2023-2024,premier-league
raul jimenez,Fulham,262,68.6,201,80.6,90,60.0,33,51.5,1.5,1.0,-1.5,23,11,2,2023-2024,premier-league
joao pedro,Brighton,659,80.6,483,88.0,217,82.0,43,55.8,3.8,4.7,-0.8,43,44,4,2023-2024,premier-league
joelinton,Newcastle Utd,524,83.6,350,89.1,191,86.9,25,76.0,2.8,1.1,-1.8,38,9,0,2023-2024,premier-league
ben johnson,West Ham,246,73.7,156,90.4,121,72.7,33,42.4,0.0,0.1,0.0,18,1,0,2023-2024,premier-league
brennan johnson,Tottenham,519,71.3,405,82.2,217,72.8,45,33.3,8.1,4.5,1.9,32,39,10,2023-2024,premier-league
brennan johnson,Nott'ham Forest,47,77.0,29,86.2,22,77.3,2,100.0,0.2,0.0,-0.2,2,0,0,2023-2024,premier-league
joseph johnson,Luton Town,30,83.3,9,100.0,17,94.1,9,55.6,0.0,0.0,0.0,1,0,0,2023-2024,premier-league
sam johnstone,Crystal Palace,343,57.3,46,97.8,147,97.3,401,38.7,0.0,0.0,0.0,13,0,0,2023-2024,premier-league
curtis jones,Liverpool,707,91.1,428,94.6,278,92.4,30,73.3,0.7,1.1,0.3,64,14,1,2023-2024,premier-league
jorginho,Arsenal,699,89.0,380,94.7,310,90.3,59,76.3,1.4,2.1,0.6,81,25,1,2023-2024,premier-league
diogo jota,Liverpool,287,72.8,227,81.5,104,79.8,17,64.7,3.3,1.7,-0.3,18,12,0,2023-2024,premier-league
mads juel andersen,Luton Town,87,74.4,47,87.2,48,77.1,19,47.4,0.0,0.0,0.0,7,0,0,2023-2024,premier-league
hamed junior traore,Bournemouth,18,66.7,11,90.9,8,75.0,3,33.3,0.0,0.0,0.0,3,0,0,2023-2024,premier-league
mathias jrgensen,Brentford,446,75.2,262,86.6,238,78.2,62,43.5,0.9,0.5,-0.9,52,9,1,2023-2024,premier-league
issa kabore,Luton Town,533,70.2,324,85.5,287,70.7,78,44.9,2.1,1.9,-0.1,30,18,13,2023-2024,premier-league
sasa kalajdzic,Wolves,38,63.3,33,66.7,16,62.5,5,40.0,1.0,0.3,-1.0,1,2,0,2023-2024,premier-league
boubacar kamara,Aston Villa,922,89.1,560,93.0,344,92.7,82,68.3,1.3,1.4,-0.3,107,12,0,2023-2024,premier-league
willy kambwala,Manchester Utd,163,84.9,78,94.9,95,89.5,14,21.4,0.0,0.0,0.0,7,0,0,2023-2024,premier-league
thomas kaminski,Luton Town,869,59.2,175,98.9,344,95.6,937,38.6,0.0,0.1,0.0,44,2,0,2023-2024,premier-league
loris karius,Newcastle Utd,21,56.8,4,100.0,14,100.0,18,16.7,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
michael keane,Everton,171,77.4,60,78.3,113,86.7,42,54.8,0.0,0.1,0.0,15,0,0,2023-2024,premier-league
thilo kehrer,West Ham,9,100.0,7,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
caoimhin kelleher,Liverpool,359,81.2,101,100.0,198,99.0,140,44.3,0.0,0.0,0.0,9,0,0,2023-2024,premier-league
lloyd kelly,Bournemouth,673,74.3,277,84.5,400,85.3,191,47.1,1.2,0.8,-0.2,76,7,4,2023-2024,premier-league
omari kellyman,Aston Villa,6,85.7,5,80.0,2,100.0,0,,0.0,0.0,0.0,2,0,0,2023-2024,premier-league
milos kerkez,Bournemouth,613,72.6,375,85.9,333,71.2,94,45.7,0.8,1.0,0.2,34,14,9,2023-2024,premier-league
kaine keslerhayden,Aston Villa,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
max kilman,Wolves,1979,85.7,824,93.0,1087,92.7,346,52.9,1.4,1.1,-1.4,109,11,1,2023-2024,premier-league
jakub kiwior,Arsenal,523,83.7,303,89.1,249,85.9,58,58.6,0.9,0.6,2.1,43,8,3,2023-2024,premier-league
justin kluivert,Bournemouth,288,68.4,194,75.8,137,75.9,32,56.3,1.9,1.6,-0.9,10,24,2,2023-2024,premier-league
