Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
adnan januzaj,Sevilla,70,79.5,38,92.1,28,82.1,18,55.6,0.0,0.2,0.0,6,1,1,2023-2024,laliga
mikel jauregizar,Athletic Club,56,70.9,37,78.4,27,85.2,10,30.0,0.1,0.1,-0.1,5,1,0,2023-2024,laliga
luis javier suarez,Almería,150,74.3,91,82.4,71,83.1,17,70.6,0.6,0.5,-0.6,14,2,1,2023-2024,laliga
salim el jebari,Atlético Madrid,3,75.0,3,100.0,1,0.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
frenkie de jong,Barcelona,1542,92.1,905,96.4,608,91.8,104,76.9,2.2,4.9,-2.2,187,34,7,2023-2024,laliga
joan jordan,Sevilla,212,87.2,109,92.7,94,91.5,24,83.3,0.0,0.1,0.0,34,1,0,2023-2024,laliga
jordi,Getafe,150,62.0,112,79.5,88,56.8,21,33.3,0.6,0.4,-0.6,13,2,1,2023-2024,laliga
jeremy jorge,Getafe,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
willian jose,Betis,429,79.3,306,83.3,130,82.3,38,76.3,2.5,1.7,2.5,16,7,1,2023-2024,laliga
joselu,Real Madrid,260,72.2,224,76.3,82,72.0,11,72.7,1.7,2.0,0.3,16,3,0,2023-2024,laliga
kamil jozwiak,Granada,128,71.1,87,80.5,61,72.1,13,46.2,1.2,0.6,-0.2,9,11,1,2023-2024,laliga
juanmi,Cádiz,181,80.1,132,85.6,64,82.8,9,55.6,1.6,0.6,-0.6,6,4,1,2023-2024,laliga
juanpe,Girona,500,90.9,181,96.1,299,94.0,61,63.9,0.0,0.0,0.0,8,0,0,2023-2024,laliga
vinicius junior,Real Madrid,499,72.3,370,84.3,171,67.3,76,56.6,4.2,4.4,0.8,37,20,2,2023-2024,laliga
filip jrgensen,Villarreal,1052,80.7,241,99.6,572,99.7,482,49.4,0.0,0.0,0.0,13,0,0,2023-2024,laliga
sory kaba,Las Palmas,111,70.3,82,74.4,40,77.5,13,69.2,0.3,0.4,0.7,7,1,0,2023-2024,laliga
kaiky,Almería,217,82.5,67,86.6,133,91.7,52,57.7,0.0,0.0,0.0,18,1,0,2023-2024,laliga
jon karrikaburu,Alavés,2,40.0,2,0.0,1,100.0,1,100.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
ibrahima kebe,Girona,5,62.5,6,50.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
kike,Alavés,200,66.4,147,71.4,95,70.5,19,57.9,2.0,1.4,0.0,15,8,2,2023-2024,laliga
koke,Atlético Madrid,2037,90.0,1117,95.4,790,91.6,242,71.9,3.6,3.0,0.4,196,33,1,2023-2024,laliga
ibrahima kone,Almería,38,67.9,30,73.3,18,72.2,3,66.7,0.1,0.5,-0.1,0,0,0,2023-2024,laliga
rominigue kouame,Cádiz,355,86.4,194,85.6,169,89.9,34,88.2,0.1,0.3,-0.1,41,5,1,2023-2024,laliga
jules kounde,Barcelona,2478,89.9,1263,94.4,1164,93.6,237,65.8,2.2,2.6,-0.2,267,20,5,2023-2024,laliga
toni kroos,Real Madrid,2291,91.5,1121,97.0,881,94.0,438,76.0,4.9,5.9,3.1,327,23,5,2023-2024,laliga
takefusa kubo,Real Sociedad,611,70.9,417,84.7,255,71.8,116,46.6,6.4,6.5,-2.4,38,31,5,2023-2024,laliga
luca de la torre,Celta Vigo,620,81.2,440,90.0,205,85.9,27,51.9,1.4,1.5,2.6,58,7,0,2023-2024,laliga
yoel lago,Celta Vigo,82,95.3,38,92.1,43,100.0,3,100.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
erik lamela,Sevilla,142,81.6,102,88.2,54,79.6,6,33.3,1.0,0.7,-1.0,11,6,2,2023-2024,laliga
bruno langa,Almería,307,76.8,176,86.9,153,80.4,51,47.1,0.4,0.3,-0.4,18,8,3,2023-2024,laliga
