Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
marin jakolis,Angers,4,57.1,1,100.0,5,60.0,1,0.0,0.0,0.2,0.0,1,0,0,2022-2023,ligue1
leo jardim,Lille,122,79.2,41,100.0,64,100.0,46,32.6,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
luis javier suarez,Marseille,53,67.9,39,66.7,27,77.8,4,100.0,0.4,0.2,0.6,8,4,0,2022-2023,ligue1
dany jean,Strasbourg,4,44.4,5,40.0,3,33.3,0,,0.0,0.1,0.0,0,1,0,2022-2023,ligue1
julian jeanvier,Auxerre,653,82.4,260,84.6,364,90.1,143,62.9,0.0,0.1,0.0,22,0,0,2022-2023,ligue1
jeffinho,Lyon,146,84.4,107,91.6,43,83.7,1,100.0,0.5,0.7,-0.5,11,4,0,2022-2023,ligue1
paul joly,Auxerre,514,78.8,247,88.3,237,84.8,127,59.1,0.3,0.6,-0.3,34,13,8,2022-2023,ligue1
jubal,Auxerre,1099,81.7,353,83.3,637,91.2,318,61.9,0.4,0.9,0.6,65,4,2,2022-2023,ligue1
christopher jullien,Montpellier,884,83.0,347,81.8,507,89.9,180,67.8,1.1,1.0,0.9,30,1,0,2022-2023,ligue1
eli junior kroupi,Lorient,4,100.0,3,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
issa kabore,Marseille,436,76.9,291,86.6,181,76.2,47,46.8,0.9,1.3,-0.9,23,16,6,2022-2023,ligue1
abdoul kader bamba,Nantes,36,81.8,20,80.0,17,88.2,1,0.0,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
gael kakuta,Lens,12,75.0,6,83.3,6,66.7,2,50.0,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
arnaud kalimuendo,Rennes,359,81.2,250,85.6,128,89.1,14,57.1,2.4,2.1,0.6,19,8,0,2022-2023,ligue1
