Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
alexis saelemaekers,Milan,66,84.6,41,97.6,22,72.7,12,66.7,0.1,0.3,-0.1,5,1,0,2024-2025,serie-a
richie sagrado,Venezia,24,77.4,19,89.5,9,77.8,3,0.0,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
marco sala,Como,115,75.7,67,91.0,55,78.2,17,29.4,0.1,0.2,-0.1,8,2,1,2024-2025,serie-a
marco sala,Lecce,36,72.0,22,90.9,22,63.6,4,25.0,0.4,0.1,-0.4,2,3,1,2024-2025,serie-a
anass salaheddine,Roma,86,83.5,47,87.2,46,91.3,6,50.0,0.1,0.1,0.9,2,1,1,2024-2025,serie-a
lazar samardzic,Atalanta,539,77.9,311,87.5,243,77.8,108,63.0,2.9,4.0,-1.9,60,30,3,2024-2025,serie-a
junior sambia,Empoli,124,68.1,58,79.3,77,76.6,36,36.1,0.3,0.3,-0.3,14,9,7,2024-2025,serie-a
antonio sanabria,Torino,210,78.4,150,82.0,79,81.0,15,60.0,0.5,0.7,0.5,13,3,0,2024-2025,serie-a
alexis sanchez,Udinese,125,76.7,75,89.3,54,68.5,18,77.8,0.2,0.3,-0.2,11,5,0,2024-2025,serie-a
nicola sansone,Lecce,18,81.8,12,91.7,5,80.0,5,60.0,0.0,0.1,0.0,2,0,0,2024-2025,serie-a
amin sarr,Hellas Verona,322,70.0,249,77.9,116,72.4,23,65.2,2.1,1.0,-1.1,26,16,2,2024-2025,serie-a
razvan sava,Udinese,277,70.1,63,100.0,153,98.7,173,35.3,0.0,0.0,0.0,6,0,0,2024-2025,serie-a
nicolo savona,Juventus,982,89.5,482,95.6,484,91.7,100,61.0,1.2,0.9,-0.2,62,12,9,2024-2025,serie-a
saba sazonov,Torino,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
giorgio scalvini,Atalanta,165,84.6,87,89.7,75,89.3,20,65.0,0.0,0.1,0.0,14,2,0,2024-2025,serie-a
gianluca scamacca,Atalanta,1,100.0,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
joel schingtienne,Venezia,420,86.2,230,89.1,206,90.3,32,50.0,0.1,0.1,-0.1,16,2,0,2024-2025,serie-a
simone scuffet,Cagliari,286,70.3,49,98.0,126,99.2,229,49.3,0.0,0.0,0.0,5,0,0,2024-2025,serie-a
simone scuffet,Napoli,35,79.5,8,100.0,22,100.0,14,35.7,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
