Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
david jurasek,Hoffenheim,3,0,24,29,62.5,2023-2024,bundesliga
julian justvan,Hoffenheim,0,0,9,3,,2023-2024,bundesliga
julian justvan,Darmstadt 98,2,0,41,52,6.3,2023-2024,bundesliga
ozan kabak,Hoffenheim,31,0,3,96,59.1,2023-2024,bundesliga
pavel kaderabek,Hoffenheim,17,1,101,65,49.2,2023-2024,bundesliga
florian kainz,Köln,19,1,167,126,32.4,2023-2024,bundesliga
sasa kalajdzic,Eint Frankfurt,3,1,1,10,45.0,2023-2024,bundesliga
jakub kaminski,Wolfsburg,3,2,16,24,25.0,2023-2024,bundesliga
kevin kampl,RB Leipzig,16,0,11,102,23.1,2023-2024,bundesliga
harry kane,Bayern Munich,10,13,31,55,46.9,2023-2024,bundesliga
atakan karazor,Stuttgart,28,0,4,174,53.7,2023-2024,bundesliga
emir karic,Darmstadt 98,17,5,52,76,56.8,2023-2024,bundesliga
silas katompa,Stuttgart,13,5,28,37,31.3,2023-2024,bundesliga
mikkel kaufmann,Union Berlin,7,0,5,19,43.3,2023-2024,bundesliga
naby keita,Werder Bremen,2,0,0,14,0.0,2023-2024,bundesliga
yannik keitel,Freiburg,12,0,2,52,57.5,2023-2024,bundesliga
thomas keller,Heidenheim,1,0,0,1,,2023-2024,bundesliga
aljoscha kemlein,Union Berlin,2,0,0,2,0.0,2023-2024,bundesliga
tobias kempe,Darmstadt 98,14,0,81,65,39.4,2023-2024,bundesliga
rani khedira,Union Berlin,25,1,6,74,51.4,2023-2024,bundesliga
luca kilian,Köln,4,0,1,24,58.8,2023-2024,bundesliga
joshua kimmich,Bayern Munich,11,2,195,140,26.3,2023-2024,bundesliga
christoph klarer,Darmstadt 98,29,4,8,87,52.5,2023-2024,bundesliga
tim kleindienst,Heidenheim,88,16,19,100,60.5,2023-2024,bundesliga
lukas klostermann,RB Leipzig,11,1,8,81,33.3,2023-2024,bundesliga
ansgar knauff,Eint Frankfurt,32,2,46,92,34.8,2023-2024,bundesliga
robin knoche,Union Berlin,10,0,3,152,52.9,2023-2024,bundesliga
gregor kobel,Dortmund,2,0,0,41,100.0,2023-2024,bundesliga
robin koch,Eint Frankfurt,20,0,4,138,61.5,2023-2024,bundesliga
dominik kohr,Mainz 05,48,0,22,134,50.6,2023-2024,bundesliga
randal kolo muani,Eint Frankfurt,4,0,0,3,44.4,2023-2024,bundesliga
mert komur,Augsburg,2,0,1,3,0.0,2023-2024,bundesliga
manu kone,Gladbach,28,3,3,111,46.7,2023-2024,bundesliga
odilon kossounou,Leverkusen,17,0,2,132,57.5,2023-2024,bundesliga
tomas koubek,Augsburg,0,0,0,5,,2023-2024,bundesliga
matej kovar,Leverkusen,0,0,0,1,,2023-2024,bundesliga
dawid kownacki,Werder Bremen,9,1,3,8,50.0,2023-2024,bundesliga
alex kral,Union Berlin,16,2,17,85,48.5,2023-2024,bundesliga
andrej kramaric,Hoffenheim,8,8,113,113,40.9,2023-2024,bundesliga
christoph kramer,Gladbach,6,0,3,20,50.0,2023-2024,bundesliga
frans kratzig,Bayern Munich,0,1,0,4,,2023-2024,bundesliga
tom krau,Mainz 05,31,0,7,148,57.7,2023-2024,bundesliga
