id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
12919,Nikolas Veratschnig,8,135,0,0.09324879944324493,0,0.0801781564950943,1,1,1,0,D S,Mainz 05,0,0.09324879944324493,0.2304571159183979,0.05703015998005867
12920,Leopold Querfeld,10,900,0,0.40240713488310575,0,1.612259117886424,7,8,4,0,D,Union Berlin,0,0.40240713488310575,0.9508362663909793,0.45078544318675995
12925,Mio Backhaus,8,720,0,0,0,0,0,0,0,0,GK,Werder Bremen,0,0,0.6767938304692507,0.6767938304692507
12927,Ramon Hendriks,8,355,0,0,0,0.034085508435964584,0,1,1,0,D S,VfB Stuttgart,0,0,0.6271511912345886,0.6271511912345886
12928,Alexander Prass,10,228,0,0.09623926505446434,0,0.43334007263183594,2,3,0,0,M S,Hoffenheim,0,0.09623926505446434,0.665112629532814,0.24895489029586315
12937,Nicolai Remberg,10,900,0,0.7416929379105568,1,0.5649481862783432,7,3,3,0,D M,Hamburger SV,0,0.7416929379105568,2.3673997819423676,1.624644085764885
12952,Oscar Højlund,7,142,0,0,0,0,0,0,0,0,M S,Eintracht Frankfurt,0,0,0.2382142897695303,0.2382142897695303
12955,Aurèle Amenda,3,99,0,0.04961979389190674,0,0,1,0,2,0,D S,Eintracht Frankfurt,0,0.04961979389190674,0.21988070383667946,0.17026090994477272
12964,Kamil Grabara,10,900,0,0.03640927001833916,0,0.013053412549197674,1,1,1,0,GK,Wolfsburg,0,0.03640927001833916,2.269818689674139,2.2567652761936188
12965,Bence Dárdai,1,31,0,0,0,0.012427224777638912,0,1,0,0,S,Wolfsburg,0,0,0.012427224777638912,0
12973,Nikola Vasilj,10,900,0,0,0,0,0,0,0,0,GK,St. Pauli,0,0,0.5785883385688066,0.5785883385688066
12974,Karol Mets,4,272,0,0,0,0,0,0,0,0,D S,St. Pauli,0,0,0.6602577595040202,0.6602577595040202
12976,Philipp Treu,7,433,0,0,0,0.11864212527871132,0,2,0,0,D M S,Freiburg,0,0,1.344717774540186,1.2592304088175297
12977,Lars Ritzka,6,246,0,0,0,0,0,0,0,0,D S,St. Pauli,0,0,0.06889764126390219,0.06889764126390219
12978,Jackson Irvine,3,26,0,0.11302860081195831,0,0,2,0,0,0,S,St. Pauli,0,0.11302860081195831,0.20606929063796997,0.09304068982601166
12979,Connor Metcalfe,10,201,0,0.5623609432950616,1,0.4554727002978325,10,3,0,0,F S,St. Pauli,0,0.5623609432950616,1.2794124810025096,0.29359122924506664
12980,Elias Saad,9,495,0,0.37165308371186256,0,0.6210179030895233,6,12,1,0,F M S,Augsburg,0,0.37165308371186256,1.412656469270587,0.5558570027351379
