Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
mohamed abdelmoneim,nice,Ligue-1,2024-2025,260,331,46,3,635,4,0.25,2,0.5,822,4,0,4,3
ali abdi,nice,Ligue-1,2024-2025,230,349,315,50,886,29,0.414,16,0.552,1003,15,9,32,14
matthis abline,nantes,Ligue-1,2024-2025,75,382,438,142,877,86,0.40700000000000003,48,0.5579999999999999,1743,42,42,92,65
abner,lyon,Ligue-1,2024-2025,207,361,225,22,791,12,0.5,6,0.5,1239,16,5,14,8
zakaria aboukhlal,toulouse,Ligue-1,2024-2025,59,196,363,113,611,53,0.302,35,0.66,880,24,19,64,26
akor adams,montpellier,Ligue-1,2024-2025,19,118,117,49,251,14,0.5,6,0.429,279,5,7,16,14
martin adeline,reims,Ligue-1,2024-2025,8,4,2,1,14,0,,0,,9,0,1,0,0
adryelson,lyon,Ligue-1,2024-2025,2,3,0,0,5,0,,0,,0,0,0,0,0
emmanuel agbadou,reims,Ligue-1,2024-2025,565,474,45,4,1080,12,0.75,3,0.25,1974,9,0,9,6
jeremy agbonifo,lens,Ligue-1,2024-2025,22,39,72,16,131,20,0.45,10,0.5,283,2,10,11,6
ruben aguilar,lens,Ligue-1,2024-2025,253,430,320,30,996,21,0.429,9,0.429,1309,21,5,19,6
naouirou ahamada,rennes,Ligue-1,2024-2025,12,16,3,0,31,1,0.0,1,1.0,55,1,0,1,1
jeaneudes aholou,angers,Ligue-1,2024-2025,259,615,167,34,1032,28,0.429,12,0.429,987,8,2,32,15
ayman aiki,saintetienne,Ligue-1,2024-2025,10,20,19,2,48,4,0.0,4,1.0,95,2,1,5,7
ludovic ajorque,brest,Ligue-1,2024-2025,84,446,389,125,913,17,0.47100000000000003,9,0.529,449,11,4,60,11
umit akdag,toulouse,Ligue-1,2024-2025,145,232,27,1,400,1,1.0,0,0.0,452,3,0,1,0
