Player,Liga,Season,Pos,Squad,Height,Value
arthur vermeeren,La-Liga,2024-2025,Defensive Midfield,atletico de madrid,1.8,22000000.0
pablo barrios,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.81,55000000.0
conor gallagher,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.82,40000000.0
rodrigo de paul,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.8,25000000.0
koke,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.76,8000000.0
javi serrano,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.78,700000.0
aitor gismera,La-Liga,2024-2025,Central Midfield,atletico de madrid,1.82,250000.0
thomas lemar,La-Liga,2024-2025,Attacking Midfield,atletico de madrid,1.71,5000000.0
samuel lino,La-Liga,2024-2025,Left Winger,atletico de madrid,1.77,22000000.0
rodrigo riquelme,La-Liga,2024-2025,Left Winger,atletico de madrid,1.74,12000000.0
carlos martin,La-Liga,2024-2025,Left Winger,atletico de madrid,1.84,2800000.0
rayane belaid,La-Liga,2024-2025,Left Winger,atletico de madrid,1.75,600000.0
marcos paulo,La-Liga,2024-2025,Left Winger,atletico de madrid,1.86,450000.0
giuliano simeone,La-Liga,2024-2025,Right Winger,atletico de madrid,1.73,35000000.0
angel correa,La-Liga,2024-2025,Right Winger,atletico de madrid,1.71,10000000.0
german valera,La-Liga,2024-2025,Right Winger,atletico de madrid,1.7,1500000.0
victor mollejo,La-Liga,2024-2025,Right Winger,atletico de madrid,1.77,300000.0
antoine griezmann,La-Liga,2024-2025,Second Striker,atletico de madrid,1.76,18000000.0
julian alvarez,La-Liga,2024-2025,Centre-Forward,atletico de madrid,1.7,100000000.0
alexander srloth,La-Liga,2024-2025,Centre-Forward,atletico de madrid,1.95,25000000.0
omar janneh,La-Liga,2024-2025,Centre-Forward,atletico de madrid,1.88,1000000.0
adrian nino,La-Liga,2024-2025,Centre-Forward,atletico de madrid,1.84,800000.0
borja garces,La-Liga,2024-2025,Centre-Forward,atletico de madrid,1.83,300000.0
unai simon,La-Liga,2024-2025,Goalkeeper,athletic bilbao,1.9,28000000.0
julen agirrezabala,La-Liga,2024-2025,Goalkeeper,athletic bilbao,1.87,15000000.0
alex padilla,La-Liga,2024-2025,Goalkeeper,athletic bilbao,1.9,3000000.0
oier gastesi,La-Liga,2024-2025,Goalkeeper,athletic bilbao,1.9,150000.0
dani vivian,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.84,40000000.0
aitor paredes,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.85,22000000.0
yeray alvarez,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.82,7000000.0
unai nunez,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.86,3000000.0
unai egiluz,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.86,600000.0
aimar dunabeitia,La-Liga,2024-2025,Centre-Back,athletic bilbao,1.84,150000.0
ander izagirre,La-Liga,2024-2025,Centre-Back,athletic bilbao,,50000.0
adama boiro,La-Liga,2024-2025,Left-Back,athletic bilbao,1.83,2500000.0
yuri berchiche,La-Liga,2024-2025,Left-Back,athletic bilbao,1.81,1400000.0
andoni gorosabel,La-Liga,2024-2025,Right-Back,athletic bilbao,1.74,5000000.0
inigo lekue,La-Liga,2024-2025,Right-Back,athletic bilbao,1.8,2000000.0
oscar de marcos,La-Liga,2024-2025,Right-Back,athletic bilbao,1.82,1500000.0
mikel vesga,La-Liga,2024-2025,Defensive Midfield,athletic bilbao,1.91,2500000.0
mikel jauregizar,La-Liga,2024-2025,Central Midfield,athletic bilbao,1.77,30000000.0
benat prados,La-Liga,2024-2025,Central Midfield,athletic bilbao,1.8,18000000.0
inigo ruiz de galarreta,La-Liga,2024-2025,Central Midfield,athletic bilbao,1.75,3000000.0
ander herrera,La-Liga,2024-2025,Central Midfield,athletic bilbao,1.82,800000.0
alejandro rego,La-Liga,2024-2025,Central Midfield,athletic bilbao,1.92,300000.0
oihan sancet,La-Liga,2024-2025,Attacking Midfield,athletic bilbao,1.88,60000000.0
unai gomez,La-Liga,2024-2025,Attacking Midfield,athletic bilbao,1.83,6000000.0
peio canales,La-Liga,2024-2025,Attacking Midfield,athletic bilbao,1.75,1000000.0
nico williams,La-Liga,2024-2025,Left Winger,athletic bilbao,1.81,70000000.0
alex berenguer,La-Liga,2024-2025,Left Winger,athletic bilbao,1.75,9000000.0
alvaro djalo,La-Liga,2024-2025,Left Winger,athletic bilbao,1.75,5000000.0
nico serrano,La-Liga,2024-2025,Left Winger,athletic bilbao,1.76,1200000.0
iker varela,La-Liga,2024-2025,Left Winger,athletic bilbao,1.88,300000.0
inaki williams,La-Liga,2024-2025,Right Winger,athletic bilbao,1.86,15000000.0
adu ares,La-Liga,2024-2025,Right Winger,athletic bilbao,1.83,1600000.0
aingeru olabarrieta,La-Liga,2024-2025,Right Winger,athletic bilbao,1.82,500000.0
endika bujan,La-Liga,2024-2025,Right Winger,athletic bilbao,1.7,300000.0
maroan sannadi,La-Liga,2024-2025,Centre-Forward,athletic bilbao,1.92,10000000.0
gorka guruzeta,La-Liga,2024-2025,Centre-Forward,athletic bilbao,1.88,9000000.0
javi marton,La-Liga,2024-2025,Centre-Forward,athletic bilbao,1.81,500000.0
alex remiro,La-Liga,2024-2025,Goalkeeper,real sociedad,1.91,18000000.0
unai marrero,La-Liga,2024-2025,Goalkeeper,real sociedad,1.89,600000.0
aitor fraga,La-Liga,2024-2025,Goalkeeper,real sociedad,,500000.0
egoitz arana,La-Liga,2024-2025,Goalkeeper,real sociedad,1.97,50000.0
nayef aguerd,La-Liga,2024-2025,Centre-Back,real sociedad,1.9,18000000.0
igor zubeldia,La-Liga,2024-2025,Centre-Back,real sociedad,1.81,12000000.0
jon martin,La-Liga,2024-2025,Centre-Back,real sociedad,1.87,8000000.0
jon pacheco,La-Liga,2024-2025,Centre-Back,real sociedad,1.84,6000000.0
aritz elustondo,La-Liga,2024-2025,Centre-Back,real sociedad,1.8,3000000.0
luken beitia,La-Liga,2024-2025,Centre-Back,real sociedad,,300000.0
sergio gomez,La-Liga,2024-2025,Left-Back,real sociedad,1.71,20000000.0
javi lopez,La-Liga,2024-2025,Left-Back,real sociedad,1.83,7500000.0
aihen munoz,La-Liga,2024-2025,Left-Back,real sociedad,1.75,4000000.0
jon balda,La-Liga,2024-2025,Left-Back,real sociedad,1.74,300000.0
jon aramburu,La-Liga,2024-2025,Right-Back,real sociedad,1.76,15000000.0
hamari traore,La-Liga,2024-2025,Right-Back,real sociedad,1.75,2000000.0
alvaro odriozola,La-Liga,2024-2025,Right-Back,real sociedad,1.76,1000000.0
inaki ruperez,La-Liga,2024-2025,Right-Back,real sociedad,,300000.0
martin zubimendi,La-Liga,2024-2025,Defensive Midfield,real sociedad,1.81,60000000.0
urko gonzalez de zarate,La-Liga,2024-2025,Defensive Midfield,real sociedad,1.89,5000000.0
luka sucic,La-Liga,2024-2025,Central Midfield,real sociedad,1.85,15000000.0
benat turrientes,La-Liga,2024-2025,Central Midfield,real sociedad,1.81,10000000.0
jon ander olasagasti,La-Liga,2024-2025,Central Midfield,real sociedad,1.76,4000000.0
mikel rodriguez,La-Liga,2024-2025,Central Midfield,real sociedad,,250000.0
brais mendez,La-Liga,2024-2025,Attacking Midfield,real sociedad,1.84,22000000.0
arsen zakharyan,La-Liga,2024-2025,Attacking Midfield,real sociedad,1.83,9000000.0
pablo marin,La-Liga,2024-2025,Attacking Midfield,real sociedad,1.78,8000000.0
jon magunazelaia,La-Liga,2024-2025,Attacking Midfield,real sociedad,1.8,600000.0
mikel goti,La-Liga,2024-2025,Attacking Midfield,real sociedad,1.85,400000.0
ander barrenetxea,La-Liga,2024-2025,Left Winger,real sociedad,1.75,15000000.0
sheraldo becker,La-Liga,2024-2025,Left Winger,real sociedad,1.8,2500000.0
arkaitz mariezkurrena,La-Liga,2024-2025,Left Winger,real sociedad,,700000.0
alex marchal,La-Liga,2024-2025,Left Winger,real sociedad,,500000.0
takefusa kubo,La-Liga,2024-2025,Right Winger,real sociedad,1.73,30000000.0
dani diaz,La-Liga,2024-2025,Right Winger,real sociedad,1.67,300000.0
mikel oyarzabal,La-Liga,2024-2025,Centre-Forward,real sociedad,1.81,25000000.0
orri oskarsson,La-Liga,2024-2025,Centre-Forward,real sociedad,1.86,15000000.0
umar sadiq,La-Liga,2024-2025,Centre-Forward,real sociedad,1.91,5000000.0
ekain orobengoa,La-Liga,2024-2025,Centre-Forward,real sociedad,,250000.0
rui silva,La-Liga,2024-2025,Goalkeeper,real betis balompie,1.91,7000000.0
fran vieites,La-Liga,2024-2025,Goalkeeper,real betis balompie,1.96,2000000.0
adrian,La-Liga,2024-2025,Goalkeeper,real betis balompie,1.9,500000.0
guilherme fernandes,La-Liga,2024-2025,Goalkeeper,real betis balompie,1.91,150000.0
german garcia,La-Liga,2024-2025,Goalkeeper,real betis balompie,,50000.0
manu gonzalez,La-Liga,2024-2025,Goalkeeper,real betis balompie,,
natan,La-Liga,2024-2025,Centre-Back,real betis balompie,1.88,9000000.0
diego llorente,La-Liga,2024-2025,Centre-Back,real betis balompie,1.86,6000000.0
nobel mendy,La-Liga,2024-2025,Centre-Back,real betis balompie,1.87,4000000.0
marc bartra,La-Liga,2024-2025,Centre-Back,real betis balompie,1.84,1000000.0
sergio arribas,La-Liga,2024-2025,Centre-Back,real betis balompie,1.85,400000.0
rudy kohon,La-Liga,2024-2025,Centre-Back,real betis balompie,1.87,400000.0
romain perraud,La-Liga,2024-2025,Left-Back,real betis balompie,1.73,5000000.0
ricardo rodriguez,La-Liga,2024-2025,Left-Back,real betis balompie,1.82,2000000.0
lucas alcazar,La-Liga,2024-2025,Left-Back,real betis balompie,1.82,300000.0
xavi pleguezuelo,La-Liga,2024-2025,Left-Back,real betis balompie,1.78,100000.0
angel ortiz,La-Liga,2024-2025,Right-Back,real betis balompie,1.67,2500000.0
hector bellerin,La-Liga,2024-2025,Right-Back,real betis balompie,1.78,2000000.0
youssouf sabaly,La-Liga,2024-2025,Right-Back,real betis balompie,1.73,1800000.0
pablo busto,La-Liga,2024-2025,Right-Back,real betis balompie,1.8,300000.0
marc roca,La-Liga,2024-2025,Defensive Midfield,real betis balompie,1.84,6000000.0
william carvalho,La-Liga,2024-2025,Defensive Midfield,real betis balompie,1.87,1500000.0
carlos guirao,La-Liga,2024-2025,Defensive Midfield,real betis balompie,1.75,300000.0
johnny cardoso,La-Liga,2024-2025,Central Midfield,real betis balompie,1.86,25000000.0
sergi altimira,La-Liga,2024-2025,Central Midfield,real betis balompie,1.88,15000000.0
pablo fornals,La-Liga,2024-2025,Central Midfield,real betis balompie,1.78,6000000.0
mateo flores,La-Liga,2024-2025,Central Midfield,real betis balompie,1.78,1000000.0
giovani lo celso,La-Liga,2024-2025,Attacking Midfield,real betis balompie,1.77,15000000.0
nabil fekir,La-Liga,2024-2025,Attacking Midfield,real betis balompie,1.73,7000000.0
isco,La-Liga,2024-2025,Attacking Midfield,real betis balompie,1.76,6000000.0
dani perez,La-Liga,2024-2025,Attacking Midfield,real betis balompie,1.73,500000.0
carlos reina,La-Liga,2024-2025,Attacking Midfield,real betis balompie,1.76,300000.0
assane diao,La-Liga,2024-2025,Left Winger,real betis balompie,1.85,30000000.0
jesus rodriguez,La-Liga,2024-2025,Left Winger,real betis balompie,1.85,30000000.0
abde ezzalzouli,La-Liga,2024-2025,Left Winger,real betis balompie,1.77,12000000.0
juanmi,La-Liga,2024-2025,Left Winger,real betis balompie,1.72,2000000.0
antony,La-Liga,2024-2025,Right Winger,real betis balompie,1.72,35000000.0
pablo garcia,La-Liga,2024-2025,Right Winger,real betis balompie,1.75,5000000.0
aitor ruibal,La-Liga,2024-2025,Right Winger,real betis balompie,1.76,3500000.0
rodri sanchez,La-Liga,2024-2025,Right Winger,real betis balompie,1.75,2700000.0
iker losada,La-Liga,2024-2025,Second Striker,real betis balompie,1.75,1500000.0
vitor roque,La-Liga,2024-2025,Centre-Forward,real betis balompie,1.74,20000000.0
cucho hernandez,La-Liga,2024-2025,Centre-Forward,real betis balompie,1.76,18000000.0
chimy avila,La-Liga,2024-2025,Centre-Forward,real betis balompie,1.72,2000000.0
cedric bakambu,La-Liga,2024-2025,Centre-Forward,real betis balompie,1.82,1500000.0
marcos fernandez,La-Liga,2024-2025,Centre-Forward,real betis balompie,1.76,400000.0
luiz junior,La-Liga,2024-2025,Goalkeeper,villarreal cf,1.92,10000000.0
diego conde,La-Liga,2024-2025,Goalkeeper,villarreal cf,1.88,7500000.0
iker alvarez,La-Liga,2024-2025,Goalkeeper,villarreal cf,1.9,800000.0
ruben gomez,La-Liga,2024-2025,Goalkeeper,villarreal cf,1.85,100000.0
logan costa,La-Liga,2024-2025,Centre-Back,villarreal cf,1.9,18000000.0
juan foyth,La-Liga,2024-2025,Centre-Back,villarreal cf,1.87,15000000.0
willy kambwala,La-Liga,2024-2025,Centre-Back,villarreal cf,1.92,4000000.0
pau navarro,La-Liga,2024-2025,Centre-Back,villarreal cf,1.85,3000000.0
eric bailly,La-Liga,2024-2025,Centre-Back,villarreal cf,1.87,2000000.0
raul albiol,La-Liga,2024-2025,Centre-Back,villarreal cf,1.9,1000000.0
antonio espigares,La-Liga,2024-2025,Centre-Back,villarreal cf,1.87,500000.0
jean ives valou,La-Liga,2024-2025,Centre-Back,villarreal cf,1.88,200000.0
sergi cardona,La-Liga,2024-2025,Left-Back,villarreal cf,1.86,10000000.0
alfonso pedraza,La-Liga,2024-2025,Left-Back,villarreal cf,1.84,2500000.0
juan bernat,La-Liga,2024-2025,Left-Back,villarreal cf,1.7,2000000.0
arnau sola,La-Liga,2024-2025,Left-Back,villarreal cf,1.79,400000.0
kiko femenia,La-Liga,2024-2025,Right-Back,villarreal cf,1.74,900000.0
pape gueye,La-Liga,2024-2025,Defensive Midfield,villarreal cf,1.89,15000000.0
santi comesana,La-Liga,2024-2025,Central Midfield,villarreal cf,1.88,8000000.0
ramon terrats,La-Liga,2024-2025,Central Midfield,villarreal cf,1.81,4000000.0
dani parejo,La-Liga,2024-2025,Central Midfield,villarreal cf,1.82,1500000.0
dani requena,La-Liga,2024-2025,Central Midfield,villarreal cf,1.86,400000.0
thiago ojeda,La-Liga,2024-2025,Central Midfield,villarreal cf,1.87,250000.0
alassane diatta,La-Liga,2024-2025,Central Midfield,villarreal cf,1.9,200000.0
denis suarez,La-Liga,2024-2025,Attacking Midfield,villarreal cf,1.76,1200000.0
alex baena,La-Liga,2024-2025,Left Winger,villarreal cf,1.74,55000000.0
arnaut danjuma,La-Liga,2024-2025,Left Winger,villarreal cf,1.78,4000000.0
yeremy pino,La-Liga,2024-2025,Right Winger,villarreal cf,1.72,30000000.0
ilias akhomach,La-Liga,2024-2025,Right Winger,villarreal cf,1.75,15000000.0
tajon buchanan,La-Liga,2024-2025,Right Winger,villarreal cf,1.83,6000000.0
nicolas pepe,La-Liga,2024-2025,Right Winger,villarreal cf,1.83,6000000.0
thierno barry,La-Liga,2024-2025,Centre-Forward,villarreal cf,1.95,20000000.0
ayoze perez,La-Liga,2024-2025,Centre-Forward,villarreal cf,1.78,10000000.0
karl etta eyong,La-Liga,2024-2025,Centre-Forward,villarreal cf,1.81,5000000.0
gerard moreno,La-Liga,2024-2025,Centre-Forward,villarreal cf,1.8,4000000.0
pau cabanes,La-Liga,2024-2025,Centre-Forward,villarreal cf,1.79,800000.0
giorgi mamardashvili,La-Liga,2024-2025,Goalkeeper,valencia cf,1.97,30000000.0
stole dimitrievski,La-Liga,2024-2025,Goalkeeper,valencia cf,1.88,2500000.0
jaume domenech,La-Liga,2024-2025,Goalkeeper,valencia cf,1.85,400000.0
vicent abril,La-Liga,2024-2025,Goalkeeper,valencia cf,1.87,200000.0
raul jimenez,La-Liga,2024-2025,Goalkeeper,valencia cf,1.88,
cristhian mosquera,La-Liga,2024-2025,Centre-Back,valencia cf,1.91,30000000.0
cesar tarrega,La-Liga,2024-2025,Centre-Back,valencia cf,1.94,10000000.0
yarek gasiorowski,La-Liga,2024-2025,Centre-Back,valencia cf,1.91,7500000.0
mouctar diakhaby,La-Liga,2024-2025,Centre-Back,valencia cf,1.92,2000000.0
cenk ozkacar,La-Liga,2024-2025,Centre-Back,valencia cf,1.9,1200000.0
maximiliano caufriez,La-Liga,2024-2025,Centre-Back,valencia cf,1.89,1000000.0
ruben iranzo,La-Liga,2024-2025,Centre-Back,valencia cf,1.82,300000.0
alex serradell,La-Liga,2024-2025,Centre-Back,valencia cf,1.89,150000.0
iker cordoba,La-Liga,2024-2025,Centre-Back,valencia cf,1.9,100000.0
jose gaya,La-Liga,2024-2025,Left-Back,valencia cf,1.72,9000000.0
jesus vazquez,La-Liga,2024-2025,Left-Back,valencia cf,1.82,3000000.0
