Player,Liga,Season,Pos,Squad,Height,Value
joe aribo,Premier-League,2024-2025,Central Midfield,southampton fc,1.83,6000000.0
will smallbone,Premier-League,2024-2025,Central Midfield,southampton fc,1.83,6000000.0
joe obrienwhitmarsh,Premier-League,2024-2025,Central Midfield,southampton fc,,300000.0
romeo akachukwu,Premier-League,2024-2025,Central Midfield,southampton fc,,150000.0
albert grnbk,Premier-League,2024-2025,Attacking Midfield,southampton fc,1.81,11000000.0
adam lallana,Premier-League,2024-2025,Attacking Midfield,southampton fc,1.72,750000.0
kamaldeen sulemana,Premier-League,2024-2025,Left Winger,southampton fc,1.75,13000000.0
maxwel cornet,Premier-League,2024-2025,Left Winger,southampton fc,1.79,8000000.0
samuel edozie,Premier-League,2024-2025,Left Winger,southampton fc,1.81,6000000.0
ryan fraser,Premier-League,2024-2025,Left Winger,southampton fc,1.63,2000000.0
jay robinson,Premier-League,2024-2025,Left Winger,southampton fc,1.76,
tyler dibling,Premier-League,2024-2025,Right Winger,southampton fc,1.78,25000000.0
samuel amoameyaw,Premier-League,2024-2025,Right Winger,southampton fc,1.74,4000000.0
adam armstrong,Premier-League,2024-2025,Centre-Forward,southampton fc,1.73,12000000.0
cameron archer,Premier-League,2024-2025,Centre-Forward,southampton fc,1.75,12000000.0
ben brereton diaz,Premier-League,2024-2025,Centre-Forward,southampton fc,1.85,7500000.0
paul onuachu,Premier-League,2024-2025,Centre-Forward,southampton fc,2.01,6000000.0
ross stewart,Premier-League,2024-2025,Centre-Forward,southampton fc,1.88,4000000.0
arijanet muric,Premier-League,2024-2025,Goalkeeper,ipswich town,1.98,5000000.0
christian walton,Premier-League,2024-2025,Goalkeeper,ipswich town,1.95,1000000.0
alex palmer,Premier-League,2024-2025,Goalkeeper,ipswich town,1.91,1000000.0
cieran slicker,Premier-League,2024-2025,Goalkeeper,ipswich town,1.91,300000.0
jacob greaves,Premier-League,2024-2025,Centre-Back,ipswich town,1.93,18000000.0
dara oshea,Premier-League,2024-2025,Centre-Back,ipswich town,1.89,14000000.0
ben godfrey,Premier-League,2024-2025,Centre-Back,ipswich town,1.84,6000000.0
luke woolfenden,Premier-League,2024-2025,Centre-Back,ipswich town,1.93,2000000.0
cameron burgess,Premier-League,2024-2025,Centre-Back,ipswich town,1.94,2000000.0
george edmundson,Premier-League,2024-2025,Centre-Back,ipswich town,1.9,800000.0
leif davis,Premier-League,2024-2025,Left-Back,ipswich town,1.82,22000000.0
conor townsend,Premier-League,2024-2025,Left-Back,ipswich town,1.83,800000.0
somto boniface,Premier-League,2024-2025,Left-Back,ipswich town,,
ben johnson,Premier-League,2024-2025,Right-Back,ipswich town,1.84,8000000.0
axel tuanzebe,Premier-League,2024-2025,Right-Back,ipswich town,1.85,5000000.0
harry clarke,Premier-League,2024-2025,Right-Back,ipswich town,1.8,4500000.0
kalvin phillips,Premier-League,2024-2025,Defensive Midfield,ipswich town,1.79,12000000.0
jens cajuste,Premier-League,2024-2025,Defensive Midfield,ipswich town,1.88,12000000.0
jack taylor,Premier-League,2024-2025,Central Midfield,ipswich town,1.85,3000000.0
sam morsy,Premier-League,2024-2025,Central Midfield,ipswich town,1.75,500000.0
massimo luongo,Premier-League,2024-2025,Central Midfield,ipswich town,1.76,400000.0
wes burns,Premier-League,2024-2025,Right Midfield,ipswich town,1.73,2000000.0
julio enciso,Premier-League,2024-2025,Attacking Midfield,ipswich town,1.73,22000000.0
omari hutchinson,Premier-League,2024-2025,Attacking Midfield,ipswich town,1.74,22000000.0
sammie szmodics,Premier-League,2024-2025,Attacking Midfield,ipswich town,1.68,10000000.0
marcus harness,Premier-League,2024-2025,Attacking Midfield,ipswich town,1.82,800000.0
jaden philogene,Premier-League,2024-2025,Left Winger,ipswich town,1.81,16000000.0
jack clarke,Premier-League,2024-2025,Left Winger,ipswich town,1.81,15000000.0
nathan broadhead,Premier-League,2024-2025,Left Winger,ipswich town,1.78,4500000.0
chiedozie ogbene,Premier-League,2024-2025,Right Winger,ipswich town,1.81,7000000.0
conor chaplin,Premier-League,2024-2025,Second Striker,ipswich town,1.68,6000000.0
liam delap,Premier-League,2024-2025,Centre-Forward,ipswich town,1.86,40000000.0
george hirst,Premier-League,2024-2025,Centre-Forward,ipswich town,1.91,4000000.0
ali alhamadi,Premier-League,2024-2025,Centre-Forward,ipswich town,1.87,2500000.0
tom taylor,Premier-League,2024-2025,Centre-Forward,ipswich town,,
mads hermansen,Premier-League,2024-2025,Goalkeeper,leicester city,1.87,15000000.0
daniel iversen,Premier-League,2024-2025,Goalkeeper,leicester city,1.93,2500000.0
danny ward,Premier-League,2024-2025,Goalkeeper,leicester city,1.91,1200000.0
jakub stolarczyk,Premier-League,2024-2025,Goalkeeper,leicester city,1.94,1000000.0
wout faes,Premier-League,2024-2025,Centre-Back,leicester city,1.87,15000000.0
caleb okoli,Premier-League,2024-2025,Centre-Back,leicester city,1.91,10000000.0
harry souttar,Premier-League,2024-2025,Centre-Back,leicester city,1.98,6000000.0
conor coady,Premier-League,2024-2025,Centre-Back,leicester city,1.85,2200000.0
jannik vestergaard,Premier-League,2024-2025,Centre-Back,leicester city,1.99,2000000.0
ben nelson,Premier-League,2024-2025,Centre-Back,leicester city,1.93,500000.0
tom wilsonbrown,Premier-League,2024-2025,Centre-Back,leicester city,1.94,
victor kristiansen,Premier-League,2024-2025,Left-Back,leicester city,1.81,15000000.0
luke thomas,Premier-League,2024-2025,Left-Back,leicester city,1.81,6000000.0
james justin,Premier-League,2024-2025,Right-Back,leicester city,1.83,13000000.0
ricardo pereira,Premier-League,2024-2025,Right-Back,leicester city,1.75,4500000.0
woyo coulibaly,Premier-League,2024-2025,Right-Back,leicester city,1.82,2000000.0
olabade aluko,Premier-League,2024-2025,Right-Back,leicester city,1.82,
wilfred ndidi,Premier-League,2024-2025,Defensive Midfield,leicester city,1.83,15000000.0
boubakary soumare,Premier-League,2024-2025,Defensive Midfield,leicester city,1.88,12000000.0
oliver skipp,Premier-League,2024-2025,Defensive Midfield,leicester city,1.75,10000000.0
hamza choudhury,Premier-League,2024-2025,Defensive Midfield,leicester city,1.78,4500000.0
sammy braybrooke,Premier-League,2024-2025,Defensive Midfield,leicester city,,300000.0
harry winks,Premier-League,2024-2025,Central Midfield,leicester city,1.78,9000000.0
michael golding,Premier-League,2024-2025,Central Midfield,leicester city,1.8,2000000.0
henry cartwright,Premier-League,2024-2025,Central Midfield,leicester city,,
bilal el khannouss,Premier-League,2024-2025,Attacking Midfield,leicester city,1.8,28000000.0
facundo buonanotte,Premier-League,2024-2025,Attacking Midfield,leicester city,1.74,20000000.0
will alves,Premier-League,2024-2025,Attacking Midfield,leicester city,,400000.0
stephy mavididi,Premier-League,2024-2025,Left Winger,leicester city,1.82,10000000.0
jeremy monga,Premier-League,2024-2025,Left Winger,leicester city,1.79,
issahaku fatawu,Premier-League,2024-2025,Right Winger,leicester city,1.77,11000000.0
bobby de cordovareid,Premier-League,2024-2025,Right Winger,leicester city,1.7,2500000.0
kasey mcateer,Premier-League,2024-2025,Right Winger,leicester city,1.77,2000000.0
jake evans,Premier-League,2024-2025,Right Winger,leicester city,,150000.0
tom cannon,Premier-League,2024-2025,Centre-Forward,leicester city,1.8,10000000.0
patson daka,Premier-League,2024-2025,Centre-Forward,leicester city,1.83,9000000.0
odsonne edouard,Premier-League,2024-2025,Centre-Forward,leicester city,1.87,8000000.0
jordan ayew,Premier-League,2024-2025,Centre-Forward,leicester city,1.82,2500000.0
jamie vardy,Premier-League,2024-2025,Centre-Forward,leicester city,1.79,1000000.0
chris popov,Premier-League,2024-2025,Centre-Forward,leicester city,1.7,100000.0
gianluigi donnarumma,Ligue-1,2024-2025,Goalkeeper,paris saintgermain,1.96,40000000.0
matvey safonov,Ligue-1,2024-2025,Goalkeeper,paris saintgermain,1.92,20000000.0
arnau tenas,Ligue-1,2024-2025,Goalkeeper,paris saintgermain,1.85,3000000.0
louis mouquet,Ligue-1,2024-2025,Goalkeeper,paris saintgermain,1.87,
willian pacho,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.87,65000000.0
marquinhos,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.83,35000000.0
lucas beraldo,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.86,25000000.0
milan skriniar,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.88,15000000.0
presnel kimpembe,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.83,5000000.0
axel tape,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.8,2000000.0
noham kamara,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.85,500000.0
naoufel el hannach,Ligue-1,2024-2025,Centre-Back,paris saintgermain,1.83,
nuno mendes,Ligue-1,2024-2025,Left-Back,paris saintgermain,1.8,70000000.0
lucas hernandez,Ligue-1,2024-2025,Left-Back,paris saintgermain,1.84,25000000.0
achraf hakimi,Ligue-1,2024-2025,Right-Back,paris saintgermain,1.81,80000000.0
yoram zague,Ligue-1,2024-2025,Right-Back,paris saintgermain,1.68,2500000.0
gabriel moscardo,Ligue-1,2024-2025,Defensive Midfield,paris saintgermain,1.85,8000000.0
vitinha,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.72,80000000.0
joao neves,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.74,80000000.0
warren zaireemery,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.78,55000000.0
fabian ruiz,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.89,40000000.0
carlos soler,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.8,18000000.0
senny mayulu,Ligue-1,2024-2025,Central Midfield,paris saintgermain,1.83,15000000.0
marco asensio,Ligue-1,2024-2025,Attacking Midfield,paris saintgermain,1.82,20000000.0
wassim slama,Ligue-1,2024-2025,Attacking Midfield,paris saintgermain,,
khvicha kvaratskhelia,Ligue-1,2024-2025,Left Winger,paris saintgermain,1.83,90000000.0
bradley barcola,Ligue-1,2024-2025,Left Winger,paris saintgermain,1.82,70000000.0
quentin ndjantou,Ligue-1,2024-2025,Left Winger,paris saintgermain,,
ousmane dembele,Ligue-1,2024-2025,Right Winger,paris saintgermain,1.78,90000000.0
desire doue,Ligue-1,2024-2025,Right Winger,paris saintgermain,1.81,90000000.0
kangin lee,Ligue-1,2024-2025,Right Winger,paris saintgermain,1.74,25000000.0
ibrahim mbaye,Ligue-1,2024-2025,Right Winger,paris saintgermain,1.75,3000000.0
goncalo ramos,Ligue-1,2024-2025,Centre-Forward,paris saintgermain,1.85,40000000.0
randal kolo muani,Ligue-1,2024-2025,Centre-Forward,paris saintgermain,1.87,30000000.0
radoslaw majecki,Ligue-1,2024-2025,Goalkeeper,as monaco,1.93,6000000.0
philipp kohn,Ligue-1,2024-2025,Goalkeeper,as monaco,1.9,5000000.0
jules stawiecki,Ligue-1,2024-2025,Goalkeeper,as monaco,1.86,200000.0
yann lienard,Ligue-1,2024-2025,Goalkeeper,as monaco,1.94,100000.0
thilo kehrer,Ligue-1,2024-2025,Centre-Back,as monaco,1.86,20000000.0
christian mawissa,Ligue-1,2024-2025,Centre-Back,as monaco,1.84,15000000.0
mohammed salisu,Ligue-1,2024-2025,Centre-Back,as monaco,1.88,12000000.0
guillermo maripan,Ligue-1,2024-2025,Centre-Back,as monaco,1.93,4000000.0
bradel kiwa,Ligue-1,2024-2025,Centre-Back,as monaco,1.91,
caio henrique,Ligue-1,2024-2025,Left-Back,as monaco,1.78,15000000.0
ismail jakobs,Ligue-1,2024-2025,Left-Back,as monaco,1.84,7000000.0
kassoum ouattara,Ligue-1,2024-2025,Left-Back,as monaco,1.76,7000000.0
wilfried singo,Ligue-1,2024-2025,Right-Back,as monaco,1.9,25000000.0
vanderson,Ligue-1,2024-2025,Right-Back,as monaco,1.73,20000000.0
jordan teze,Ligue-1,2024-2025,Right-Back,as monaco,1.83,9000000.0
denis zakaria,Ligue-1,2024-2025,Defensive Midfield,as monaco,1.9,30000000.0
soungoutou magassa,Ligue-1,2024-2025,Defensive Midfield,as monaco,1.9,12000000.0
moatasem almusrati,Ligue-1,2024-2025,Defensive Midfield,as monaco,1.89,8000000.0
aladji bamba,Ligue-1,2024-2025,Defensive Midfield,as monaco,1.81,
samuel nibombe,Ligue-1,2024-2025,Defensive Midfield,as monaco,1.98,
lamine camara,Ligue-1,2024-2025,Central Midfield,as monaco,1.73,22000000.0
eliot matazo,Ligue-1,2024-2025,Central Midfield,as monaco,1.7,2000000.0
edan diop,Ligue-1,2024-2025,Central Midfield,as monaco,1.85,600000.0
mamadou coulibaly,Ligue-1,2024-2025,Central Midfield,as monaco,1.79,200000.0
mayssam benama,Ligue-1,2024-2025,Central Midfield,as monaco,1.77,150000.0
aleksandr golovin,Ligue-1,2024-2025,Attacking Midfield,as monaco,1.78,20000000.0
saimon bouabre,Ligue-1,2024-2025,Attacking Midfield,as monaco,1.74,300000.0
eliesse ben seghir,Ligue-1,2024-2025,Left Winger,as monaco,1.78,28000000.0
takumi minamino,Ligue-1,2024-2025,Left Winger,as monaco,1.72,15000000.0
lucas michal,Ligue-1,2024-2025,Left Winger,as monaco,,500000.0
maghnes akliouche,Ligue-1,2024-2025,Right Winger,as monaco,1.83,45000000.0
krepin diatta,Ligue-1,2024-2025,Right Winger,as monaco,1.75,7000000.0
mika biereth,Ligue-1,2024-2025,Centre-Forward,as monaco,1.87,30000000.0
folarin balogun,Ligue-1,2024-2025,Centre-Forward,as monaco,1.78,18000000.0
george ilenikhena,Ligue-1,2024-2025,Centre-Forward,as monaco,1.85,15000000.0
breel embolo,Ligue-1,2024-2025,Centre-Forward,as monaco,1.87,12000000.0
joan tincres,Ligue-1,2024-2025,Centre-Forward,as monaco,1.82,100000.0
geronimo rulli,Ligue-1,2024-2025,Goalkeeper,olympique marseille,1.89,8000000.0
jeffrey de lange,Ligue-1,2024-2025,Goalkeeper,olympique marseille,1.9,2000000.0
ruben blanco,Ligue-1,2024-2025,Goalkeeper,olympique marseille,1.88,1000000.0
jelle van neck,Ligue-1,2024-2025,Goalkeeper,olympique marseille,1.91,50000.0
leonardo balerdi,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.87,20000000.0
lilian brassier,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.86,10000000.0
luiz felipe,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.87,5000000.0
derek cornelius,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.87,5000000.0
bamo meite,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.84,4000000.0
chancel mbemba,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.82,2000000.0
roggerio nyakossi,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.94,500000.0
rony mimb baheng,Ligue-1,2024-2025,Centre-Back,olympique marseille,1.88,
quentin merlin,Ligue-1,2024-2025,Left-Back,olympique marseille,1.74,15000000.0
ulisses garcia,Ligue-1,2024-2025,Left-Back,olympique marseille,1.82,5000000.0
alexi koum,Ligue-1,2024-2025,Left-Back,olympique marseille,1.8,100000.0
amar dedic,Ligue-1,2024-2025,Right-Back,olympique marseille,1.8,12000000.0
amir murillo,Ligue-1,2024-2025,Right-Back,olympique marseille,1.84,10000000.0
pol lirola,Ligue-1,2024-2025,Right-Back,olympique marseille,1.83,4000000.0
pierreemile hjbjerg,Ligue-1,2024-2025,Defensive Midfield,olympique marseille,1.85,20000000.0
ismael bennacer,Ligue-1,2024-2025,Defensive Midfield,olympique marseille,1.75,15000000.0
geoffrey kondogbia,Ligue-1,2024-2025,Defensive Midfield,olympique marseille,1.88,7000000.0
adrien rabiot,Ligue-1,2024-2025,Central Midfield,olympique marseille,1.91,25000000.0
ismael kone,Ligue-1,2024-2025,Central Midfield,olympique marseille,1.88,9000000.0
valentin rongier,Ligue-1,2024-2025,Central Midfield,olympique marseille,1.73,9000000.0
bilal nadir,Ligue-1,2024-2025,Central Midfield,olympique marseille,1.79,5000000.0
gael lafont,Ligue-1,2024-2025,Central Midfield,olympique marseille,1.78,
luis henrique,Ligue-1,2024-2025,Right Midfield,olympique marseille,1.81,25000000.0
valentin carboni,Ligue-1,2024-2025,Attacking Midfield,olympique marseille,1.85,12000000.0
amine harit,Ligue-1,2024-2025,Attacking Midfield,olympique marseille,1.8,8000000.0
enzo sternal,Ligue-1,2024-2025,Attacking Midfield,olympique marseille,1.74,1500000.0
darryl bakola,Ligue-1,2024-2025,Attacking Midfield,olympique marseille,1.78,200000.0
jonathan rowe,Ligue-1,2024-2025,Left Winger,olympique marseille,1.73,12000000.0
salim ben seghir,Ligue-1,2024-2025,Left Winger,olympique marseille,1.77,400000.0
mason greenwood,Ligue-1,2024-2025,Right Winger,olympique marseille,1.81,40000000.0
keyliane abdallah,Ligue-1,2024-2025,Right Winger,olympique marseille,1.85,100000.0
amine gouiri,Ligue-1,2024-2025,Centre-Forward,olympique marseille,1.81,30000000.0
elye wahi,Ligue-1,2024-2025,Centre-Forward,olympique marseille,1.84,22000000.0
neal maupay,Ligue-1,2024-2025,Centre-Forward,olympique marseille,1.71,8000000.0
faris moumbagna,Ligue-1,2024-2025,Centre-Forward,olympique marseille,1.85,5000000.0
robinio vaz,Ligue-1,2024-2025,Centre-Forward,olympique marseille,1.85,150000.0
lucas chevalier,Ligue-1,2024-2025,Goalkeeper,losc lille,1.89,30000000.0
lisandru olmeta,Ligue-1,2024-2025,Goalkeeper,losc lille,1.9,150000.0
vito mannone,Ligue-1,2024-2025,Goalkeeper,losc lille,1.88,150000.0
marcaurele caillard,Ligue-1,2024-2025,Goalkeeper,losc lille,1.92,100000.0
bafode diakite,Ligue-1,2024-2025,Centre-Back,losc lille,1.84,28000000.0
alexsandro,Ligue-1,2024-2025,Centre-Back,losc lille,1.91,20000000.0
samuel umtiti,Ligue-1,2024-2025,Centre-Back,losc lille,1.82,1500000.0
aissa mandi,Ligue-1,2024-2025,Centre-Back,losc lille,1.86,1200000.0
rafael fernandes,Ligue-1,2024-2025,Centre-Back,losc lille,1.91,1000000.0
ousmane toure,Ligue-1,2024-2025,Centre-Back,losc lille,1.87,500000.0
isaac cossier,Ligue-1,2024-2025,Centre-Back,losc lille,1.93,
gabriel gudmundsson,Ligue-1,2024-2025,Left-Back,losc lille,1.8,7000000.0
mitchel bakker,Ligue-1,2024-2025,Left-Back,losc lille,1.89,7000000.0
ismaily,Ligue-1,2024-2025,Left-Back,losc lille,1.77,1200000.0
vincent burlet,Ligue-1,2024-2025,Left-Back,losc lille,1.8,600000.0
tiago santos,Ligue-1,2024-2025,Right-Back,losc lille,1.75,15000000.0
thomas meunier,Ligue-1,2024-2025,Right-Back,losc lille,1.91,2000000.0
akim zedadka,Ligue-1,2024-2025,Right-Back,losc lille,1.74,700000.0
morgan costarelli,Ligue-1,2024-2025,Right-Back,losc lille,1.7,
ngalayel mukau,Ligue-1,2024-2025,Defensive Midfield,losc lille,1.86,15000000.0
nabil bentaleb,Ligue-1,2024-2025,Defensive Midfield,losc lille,1.87,6000000.0
benjamin andre,Ligue-1,2024-2025,Defensive Midfield,losc lille,1.8,5000000.0
ugo raghouber,Ligue-1,2024-2025,Defensive Midfield,losc lille,1.88,4000000.0
lilian baret,Ligue-1,2024-2025,Defensive Midfield,losc lille,1.68,
ayyoub bouaddi,Ligue-1,2024-2025,Central Midfield,losc lille,1.86,28000000.0
andre gomes,Ligue-1,2024-2025,Central Midfield,losc lille,1.9,6000000.0
ethan mbappe,Ligue-1,2024-2025,Central Midfield,losc lille,1.8,5000000.0
angel gomes,Ligue-1,2024-2025,Attacking Midfield,losc lille,1.68,20000000.0
hakon arnar haraldsson,Ligue-1,2024-2025,Attacking Midfield,losc lille,1.78,18000000.0
remy cabella,Ligue-1,2024-2025,Attacking Midfield,losc lille,1.72,2500000.0
matias fernandezpardo,Ligue-1,2024-2025,Left Winger,losc lille,1.88,15000000.0
osame sahraoui,Ligue-1,2024-2025,Left Winger,losc lille,1.7,12000000.0
aaron malouda,Ligue-1,2024-2025,Left Winger,losc lille,1.83,150000.0
younes lachaab,Ligue-1,2024-2025,Left Winger,losc lille,1.76,50000.0
soriba diaoune,Ligue-1,2024-2025,Left Winger,losc lille,1.74,
edon zhegrova,Ligue-1,2024-2025,Right Winger,losc lille,1.8,25000000.0
jonathan david,Ligue-1,2024-2025,Centre-Forward,losc lille,1.78,45000000.0
chuba akpom,Ligue-1,2024-2025,Centre-Forward,losc lille,1.83,7000000.0
andrej ilic,Ligue-1,2024-2025,Centre-Forward,losc lille,1.89,4000000.0
mohamed bayo,Ligue-1,2024-2025,Centre-Forward,losc lille,1.87,2800000.0
lucas perri,Ligue-1,2024-2025,Goalkeeper,olympique lyon,1.97,10000000.0
anthony lopes,Ligue-1,2024-2025,Goalkeeper,olympique lyon,1.84,1200000.0
remy descamps,Ligue-1,2024-2025,Goalkeeper,olympique lyon,1.96,1200000.0
justin bengui,Ligue-1,2024-2025,Goalkeeper,olympique lyon,1.9,400000.0
lassine diarra,Ligue-1,2024-2025,Goalkeeper,olympique lyon,1.9,50000.0
matthias da silva,Ligue-1,2024-2025,Goalkeeper,olympique lyon,,
moussa niakhate,Ligue-1,2024-2025,Centre-Back,olympique lyon,1.9,15000000.0
duje caletacar,Ligue-1,2024-2025,Centre-Back,olympique lyon,1.93,7000000.0
adryelson,Ligue-1,2024-2025,Centre-Back,olympique lyon,1.82,3500000.0
clinton mata,Ligue-1,2024-2025,Centre-Back,olympique lyon,1.8,3500000.0
warmed omari,Ligue-1,2024-2025,Centre-Back,olympique lyon,1.88,3000000.0
abner,Ligue-1,2024-2025,Left-Back,olympique lyon,1.81,7000000.0
nicolas tagliafico,Ligue-1,2024-2025,Left-Back,olympique lyon,1.71,6000000.0
ainsley maitlandniles,Ligue-1,2024-2025,Right-Back,olympique lyon,1.8,12000000.0
sael kumbedi,Ligue-1,2024-2025,Right-Back,olympique lyon,1.75,7000000.0
teo barisic,Ligue-1,2024-2025,Right-Back,olympique lyon,1.85,
orel mangala,Ligue-1,2024-2025,Defensive Midfield,olympique lyon,1.78,18000000.0
tanner tessmann,Ligue-1,2024-2025,Defensive Midfield,olympique lyon,1.88,6000000.0
nemanja matic,Ligue-1,2024-2025,Defensive Midfield,olympique lyon,1.94,2000000.0
paul akouokou,Ligue-1,2024-2025,Defensive Midfield,olympique lyon,1.81,800000.0
mathys de carvalho,Ligue-1,2024-2025,Defensive Midfield,olympique lyon,1.83,
maxence caqueret,Ligue-1,2024-2025,Central Midfield,olympique lyon,1.74,16000000.0
corentin tolisso,Ligue-1,2024-2025,Central Midfield,olympique lyon,1.81,12000000.0
jordan veretout,Ligue-1,2024-2025,Central Midfield,olympique lyon,1.77,4000000.0
mahamadou diawara,Ligue-1,2024-2025,Central Midfield,olympique lyon,1.87,2000000.0
malick fofana,Ligue-1,2024-2025,Left Winger,olympique lyon,1.69,30000000.0
thiago almada,Ligue-1,2024-2025,Left Winger,olympique lyon,1.71,25000000.0
said benrahma,Ligue-1,2024-2025,Left Winger,olympique lyon,1.72,10000000.0
wilfried zaha,Ligue-1,2024-2025,Left Winger,olympique lyon,1.8,5000000.0
rayan cherki,Ligue-1,2024-2025,Right Winger,olympique lyon,1.77,45000000.0
ernest nuamah,Ligue-1,2024-2025,Right Winger,olympique lyon,1.78,15000000.0
georges mikautadze,Ligue-1,2024-2025,Centre-Forward,olympique lyon,1.76,22000000.0
gift orban,Ligue-1,2024-2025,Centre-Forward,olympique lyon,1.78,10000000.0
alexandre lacazette,Ligue-1,2024-2025,Centre-Forward,olympique lyon,1.75,6000000.0
mama balde,Ligue-1,2024-2025,Centre-Forward,olympique lyon,1.76,4000000.0
alejandro gomes rodriguez,Ligue-1,2024-2025,Centre-Forward,olympique lyon,1.76,100000.0
enzo molebe,Ligue-1,2024-2025,Centre-Forward,olympique lyon,,100000.0
djordje petrovic,Ligue-1,2024-2025,Goalkeeper,rc strasbourg alsace,1.94,20000000.0
robin risser,Ligue-1,2024-2025,Goalkeeper,rc strasbourg alsace,1.93,1500000.0
alaa bellaarouch,Ligue-1,2024-2025,Goalkeeper,rc strasbourg alsace,1.89,400000.0
karljohan johnsson,Ligue-1,2024-2025,Goalkeeper,rc strasbourg alsace,1.88,300000.0
mamadou sarr,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.94,20000000.0
ismael doukoure,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.83,18000000.0
abakar sylla,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.88,10000000.0
andrew omobamidele,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.88,8000000.0
saidou sow,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.87,6000000.0
yoni gomis,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.86,700000.0
amadou cisse,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,1.83,
sacha lung,Ligue-1,2024-2025,Centre-Back,rc strasbourg alsace,,
caleb wiley,Ligue-1,2024-2025,Left-Back,rc strasbourg alsace,1.8,8000000.0
eduard sobol,Ligue-1,2024-2025,Left-Back,rc strasbourg alsace,1.86,900000.0
thomas delaine,Ligue-1,2024-2025,Left-Back,rc strasbourg alsace,1.8,600000.0
guela doue,Ligue-1,2024-2025,Right-Back,rc strasbourg alsace,1.87,18000000.0
marvin senaya,Ligue-1,2024-2025,Right-Back,rc strasbourg alsace,1.81,1800000.0
karol fila,Ligue-1,2024-2025,Right-Back,rc strasbourg alsace,1.83,600000.0
junior mwanga,Ligue-1,2024-2025,Defensive Midfield,rc strasbourg alsace,1.84,6000000.0
rabby nzingoula,Ligue-1,2024-2025,Defensive Midfield,rc strasbourg alsace,1.83,2500000.0
pape diong,Ligue-1,2024-2025,Defensive Midfield,rc strasbourg alsace,1.93,800000.0
andrey santos,Ligue-1,2024-2025,Central Midfield,rc strasbourg alsace,1.8,35000000.0
habib diarra,Ligue-1,2024-2025,Central Midfield,rc strasbourg alsace,1.78,20000000.0
valentin barco,Ligue-1,2024-2025,Central Midfield,rc strasbourg alsace,1.7,12000000.0
samir el mourabet,Ligue-1,2024-2025,Central Midfield,rc strasbourg alsace,1.86,50000.0
diego moreira,Ligue-1,2024-2025,Left Midfield,rc strasbourg alsace,1.79,18000000.0
sebastian nanasi,Ligue-1,2024-2025,Left Midfield,rc strasbourg alsace,1.78,18000000.0
felix lemarechal,Ligue-1,2024-2025,Attacking Midfield,rc strasbourg alsace,1.8,10000000.0
tidiane diallo,Ligue-1,2024-2025,Attacking Midfield,rc strasbourg alsace,1.76,
oscar perea,Ligue-1,2024-2025,Left Winger,rc strasbourg alsace,1.74,2000000.0
nordine kandil,Ligue-1,2024-2025,Left Winger,rc strasbourg alsace,1.67,1000000.0
rayane messi,Ligue-1,2024-2025,Left Winger,rc strasbourg alsace,1.75,800000.0
jeremy sebas,Ligue-1,2024-2025,Left Winger,rc strasbourg alsace,1.87,700000.0
dilane bakwa,Ligue-1,2024-2025,Right Winger,rc strasbourg alsace,1.8,25000000.0
samuel amoameyaw,Ligue-1,2024-2025,Right Winger,rc strasbourg alsace,1.74,4000000.0
abdoul ouattara,Ligue-1,2024-2025,Right Winger,rc strasbourg alsace,1.8,1200000.0
ghianny kodia,Ligue-1,2024-2025,Right Winger,rc strasbourg alsace,,
emmanuel emegha,Ligue-1,2024-2025,Centre-Forward,rc strasbourg alsace,1.96,25000000.0
milos lukovic,Ligue-1,2024-2025,Centre-Forward,rc strasbourg alsace,1.84,5000000.0
sekou mara,Ligue-1,2024-2025,Centre-Forward,rc strasbourg alsace,1.83,5000000.0
moise sahi dion,Ligue-1,2024-2025,Centre-Forward,rc strasbourg alsace,1.75,1000000.0
zoumana diallo,Ligue-1,2024-2025,Centre-Forward,rc strasbourg alsace,1.85,
