Player,Squad,Liga,Season,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA
arnau rafus,valladolid,La-Liga,2024-2025,0.5,0.23,-1.5,0.342,14,0.071,1
alex remiro,real sociedad,La-Liga,2024-2025,38.0,0.26,-5.0,0.314,446,0.065,40
adrian rodriguez,alaves,La-Liga,2024-2025,1.5,0.13,-0.5,0.9229999999999999,33,0.0,0
leo roman,mallorca,La-Liga,2024-2025,13.5,0.26,+3.5,0.532,127,0.063,6
rui silva,betis,La-Liga,2024-2025,18.4,0.30,+1.4,0.26,194,0.052000000000000005,31
unai simon,athletic club,La-Liga,2024-2025,16.3,0.24,+2.3,0.36200000000000004,249,0.076,28
antonio sivera,alaves,La-Liga,2024-2025,39.0,0.28,+2.0,0.718,453,0.066,29
david soria,getafe,La-Liga,2024-2025,42.0,0.29,+3.0,0.726,479,0.052000000000000005,39
juan soriano,leganes,La-Liga,2024-2025,8.8,0.36,+2.8,0.565,130,0.054000000000000006,0
wojciech szczesny,barcelona,La-Liga,2024-2025,12.0,0.35,0.0,0.12300000000000001,130,0.054000000000000006,56
marcandre ter stegen,barcelona,La-Liga,2024-2025,6.4,0.26,-2.6,0.121,83,0.06,13
fran vieites,betis,La-Liga,2024-2025,4.7,0.42,-0.3,0.4,65,0.092,4
ivan villar,celta vigo,La-Liga,2024-2025,8.2,0.40,+1.2,0.146,65,0.015,5
krapyvtsov vladyslav,girona,La-Liga,2024-2025,6.3,0.31,-0.7,0.317,27,0.037000000000000005,1
alisson,liverpool,Premier-League,2024-2025,30.5,0.30,+3.5,0.19699999999999998,255,0.043,49
alphonse areola,west ham,Premier-League,2024-2025,35.4,0.31,-2.6,0.344,394,0.038,30
kepa arrizabalaga,bournemouth,Premier-League,2024-2025,41.0,0.28,+2.0,0.332,367,0.06,54
brandon austin,tottenham,Premier-League,2024-2025,2.2,0.55,+0.2,0.385,15,0.33299999999999996,2
altay bayndr,manchester utd,Premier-League,2024-2025,10.1,0.59,+1.1,0.344,56,0.071,7
daniel bentley,wolves,Premier-League,2024-2025,3.9,0.33,-0.1,0.25,25,0.0,3
martin dubravka,newcastle utd,Premier-League,2024-2025,12.9,0.32,+0.9,0.158,127,0.079,11
ederson,manchester city,Premier-League,2024-2025,30.0,0.37,+5.0,0.174,224,0.057999999999999996,49
ukasz fabianski,west ham,Premier-League,2024-2025,22.6,0.29,+1.6,0.419,220,0.045,12
mark flekken,brentford,Premier-League,2024-2025,52.7,0.26,-0.3,0.337,581,0.079,34
fraser forster,tottenham,Premier-League,2024-2025,16.5,0.36,+1.5,0.213,81,0.049,3
dean henderson,crystal palace,Premier-League,2024-2025,51.2,0.35,+3.2,0.475,559,0.054000000000000006,40
mads hermansen,leicester city,Premier-League,2024-2025,56.4,0.35,+1.4,0.392,419,0.062,26
vitezslav jaros,liverpool,Premier-League,2024-2025,0.0,0.03,0.0,0.857,2,0.0,0
sam johnstone,wolves,Premier-League,2024-2025,13.0,0.29,-3.0,0.456,104,0.077,11
filip jrgensen,chelsea,Premier-League,2024-2025,9.3,0.30,+0.3,0.18100000000000002,53,0.038,2
caoimhin kelleher,liverpool,Premier-League,2024-2025,11.6,0.30,-0.4,0.28600000000000003,113,0.053,9
tom king,wolves,Premier-League,2024-2025,0.0,,0.0,0.0,1,0.0,0
antonin kinsky,tottenham,Premier-League,2024-2025,10.5,0.33,+1.5,0.26899999999999996,112,0.08900000000000001,9
bernd leno,fulham,Premier-League,2024-2025,48.9,0.29,-3.1,0.22699999999999998,507,0.045,33
joe lumley,southampton,Premier-League,2024-2025,7.7,0.39,+0.7,0.341,56,0.036000000000000004,7
emiliano martinez,aston villa,Premier-League,2024-2025,45.8,0.32,+0.8,0.263,498,0.11199999999999999,35
alex mccarthy,southampton,Premier-League,2024-2025,12.6,0.29,-0.4,0.33299999999999996,74,0.10800000000000001,0
arijanet muric,ipswich town,Premier-League,2024-2025,31.4,0.29,-1.6,0.29600000000000004,249,0.157,20
neto,bournemouth,Premier-League,2024-2025,4.3,0.35,+2.3,0.435,30,0.067,3
robin olsen,aston villa,Premier-League,2024-2025,6.3,0.40,+0.3,0.42700000000000005,40,0.075,0
andre onana,manchester utd,Premier-League,2024-2025,44.0,0.31,+1.0,0.297,399,0.055,23
stefan ortega,manchester city,Premier-League,2024-2025,16.3,0.31,-0.7,0.215,133,0.045,12
alex palmer,ipswich town,Premier-League,2024-2025,25.1,0.35,-2.9,0.368,249,0.08,13
jordan pickford,everton,Premier-League,2024-2025,48.8,0.30,+4.8,0.488,558,0.055999999999999994,57
nick pope,newcastle utd,Premier-League,2024-2025,34.8,0.28,+1.8,0.257,359,0.109,64
aaron ramsdale,southampton,Premier-League,2024-2025,63.5,0.32,-2.5,0.446,457,0.055,20
david raya,arsenal,Premier-League,2024-2025,35.1,0.28,+1.1,0.299,402,0.132,66
jose sa,wolves,Premier-League,2024-2025,42.8,0.33,-3.2,0.39299999999999996,432,0.07400000000000001,43
robert sanchez,chelsea,Premier-League,2024-2025,35.7,0.25,+1.7,0.33299999999999996,370,0.127,57
matz sels,nottham forest,Premier-League,2024-2025,49.1,0.29,+3.1,0.684,710,0.027000000000000003,12
jason steele,brighton,Premier-League,2024-2025,0.5,0.12,-0.5,0.136,22,0.091,3
jakub stolarczyk,leicester city,Premier-League,2024-2025,15.4,0.35,-0.6,0.46299999999999997,169,0.059000000000000004,8
mark travers,bournemouth,Premier-League,2024-2025,9.5,0.38,+4.5,0.41700000000000004,63,0.016,5
hakon valdimarsson,brentford,Premier-League,2024-2025,0.6,0.14,-0.4,0.426,16,0.125,0
bart verbruggen,brighton,Premier-League,2024-2025,51.0,0.31,-5.0,0.26899999999999996,414,0.065,47
guglielmo vicario,tottenham,Premier-League,2024-2025,37.4,0.36,+2.4,0.105,312,0.096,31
christian walton,ipswich town,Premier-League,2024-2025,17.1,0.40,-1.9,0.426,111,0.10800000000000001,2
danny ward,leicester city,Premier-League,2024-2025,2.8,0.28,-3.2,0.37,11,0.0,2
emil audero,como,Serie-A,2024-2025,12.4,0.27,-5.6,0.22,95,0.053,8
jean butez,como,Serie-A,2024-2025,20.1,0.27,+0.1,0.302,190,0.11599999999999999,51
elia caprile,napoli,Serie-A,2024-2025,2.2,0.27,+1.2,0.256,31,0.09699999999999999,3
elia caprile,cagliari,Serie-A,2024-2025,23.5,0.35,+1.5,0.441,266,0.068,23
marco carnesecchi,atalanta,Serie-A,2024-2025,36.1,0.28,+4.1,0.282,319,0.066,45
leandro chichizola,parma,Serie-A,2024-2025,2.5,0.43,-0.5,0.317,21,0.095,2
giuseppe ciocci,cagliari,Serie-A,2024-2025,0.0,,0.0,0.0,0,,1
michele di gregorio,juventus,Serie-A,2024-2025,28.1,0.24,-3.9,0.3,469,0.062,30
wladimiro falcone,lecce,Serie-A,2024-2025,53.8,0.26,-1.2,0.519,590,0.049,19
david de gea,fiorentina,Serie-A,2024-2025,37.7,0.26,+0.7,0.401,478,0.027000000000000003,28
pierluigi gollini,genoa,Serie-A,2024-2025,12.2,0.29,-2.8,0.247,92,0.022000000000000002,2
jesse joronen,venezia,Serie-A,2024-2025,12.6,0.26,-0.4,0.281,125,0.048,5
nicola leali,genoa,Serie-A,2024-2025,34.3,0.29,+6.3,0.39299999999999996,390,0.054000000000000006,14
mike maignan,milan,Serie-A,2024-2025,36.8,0.26,-1.2,0.174,447,0.057999999999999996,68
christos mandas,lazio,Serie-A,2024-2025,7.9,0.29,+0.9,0.364,130,0.154,22
josep martinez,inter,Serie-A,2024-2025,4.1,0.31,+1.1,0.204,81,0.037000000000000005,3
andrea mazza,monza,Serie-A,2024-2025,0.0,,0.0,0.2,1,0.0,0
alex meret,napoli,Serie-A,2024-2025,25.3,0.27,+2.3,0.154,378,0.055999999999999994,47
vanja milinkovicsavic,torino,Serie-A,2024-2025,51.4,0.27,+11.4,0.4,585,0.063,46
lorenzo montipo,hellas verona,Serie-A,2024-2025,50.8,0.31,-12.2,0.599,498,0.06,23
juan musso,atalanta,Serie-A,2024-2025,0.7,0.19,+0.7,0.368,15,0.0,1
maduka okoye,udinese,Serie-A,2024-2025,37.0,0.32,0.0,0.299,315,0.044000000000000004,23
daniele padelli,udinese,Serie-A,2024-2025,0.8,0.26,+0.8,0.33299999999999996,11,0.091,0
alberto paleari,torino,Serie-A,2024-2025,2.2,0.32,-0.8,0.34600000000000003,12,0.0,5
rui patricio,atalanta,Serie-A,2024-2025,4.2,0.34,+1.2,0.18100000000000002,29,0.0,10
simone perilli,hellas verona,Serie-A,2024-2025,3.0,0.30,+1.0,0.8240000000000001,46,0.043,3
mattia perin,juventus,Serie-A,2024-2025,3.7,0.23,+0.7,0.22399999999999998,50,0.06,3
semuel pizzignacco,monza,Serie-A,2024-2025,12.4,0.33,-3.6,0.337,119,0.034,7
ivan provedel,lazio,Serie-A,2024-2025,31.5,0.32,-8.5,0.308,366,0.079,32
ionut radu,venezia,Serie-A,2024-2025,19.2,0.26,+1.2,0.47700000000000004,215,0.06,3
federico ravaglia,bologna,Serie-A,2024-2025,11.7,0.46,-2.3,0.275,97,0.113,9
pepe reina,como,Serie-A,2024-2025,12.1,0.28,-1.9,0.324,148,0.013999999999999999,6
razvan sava,udinese,Serie-A,2024-2025,14.5,0.24,+0.5,0.332,202,0.02,13
simone scuffet,cagliari,Serie-A,2024-2025,20.4,0.28,-2.6,0.42,189,0.032,7
simone scuffet,napoli,Serie-A,2024-2025,1.6,0.40,+0.6,0.257,29,0.034,0
jacopo seghetti,empoli,Serie-A,2024-2025,1.9,0.31,-1.1,0.375,4,0.0,1
alen sherri,cagliari,Serie-A,2024-2025,10.9,0.35,-0.1,0.35700000000000004,85,0.047,5
benjamin siegrist,genoa,Serie-A,2024-2025,2.4,0.20,+0.4,0.33299999999999996,26,0.038,1
marco silvestri,empoli,Serie-A,2024-2025,8.0,0.32,-2.0,0.607,62,0.016,4
ukasz skorupski,bologna,Serie-A,2024-2025,28.7,0.34,-2.3,0.27899999999999997,215,0.084,23
daniele sommariva,genoa,Serie-A,2024-2025,0.9,0.30,-0.1,0.667,19,0.0,0
yann sommer,inter,Serie-A,2024-2025,31.7,0.24,+0.7,0.16899999999999998,356,0.039,14
marco sportiello,milan,Serie-A,2024-2025,2.2,0.36,+0.2,0.217,15,0.067,3
filip stankovic,venezia,Serie-A,2024-2025,25.2,0.26,+3.2,0.294,249,0.048,13
zion suzuki,parma,Serie-A,2024-2025,51.4,0.32,+0.4,0.414,614,0.10400000000000001,38
mile svilar,roma,Serie-A,2024-2025,42.5,0.26,+8.5,0.23800000000000002,495,0.061,33
pietro terracciano,fiorentina,Serie-A,2024-2025,3.1,0.24,+0.1,0.282,20,0.05,3
stefano turati,monza,Serie-A,2024-2025,47.4,0.31,-2.6,0.38299999999999995,414,0.053,26
devis vasquez,empoli,Serie-A,2024-2025,40.2,0.31,-4.8,0.485,490,0.073,15
ben alexander voll,st pauli,Bundesliga,2024-2025,2.4,0.48,+0.4,0.595,15,0.0,0
noah atubolu,freiburg,Bundesliga,2024-2025,37.0,0.30,0.0,0.324,377,0.09,28
oliver baumann,hoffenheim,Bundesliga,2024-2025,52.1,0.36,+1.1,0.41600000000000004,407,0.044000000000000004,31
tiago cardoso,gladbach,Bundesliga,2024-2025,4.7,0.20,+1.7,0.27,96,0.146,1
finn dahmen,augsburg,Bundesliga,2024-2025,24.2,0.29,+7.2,0.386,337,0.027000000000000003,26
thomas dahne,holstein kiel,Bundesliga,2024-2025,18.5,0.30,+0.5,0.257,177,0.085,5
patrick drewes,bochum,Bundesliga,2024-2025,42.3,0.38,-3.7,0.501,285,0.042,33
frank feller,heidenheim,Bundesliga,2024-2025,0.3,0.16,+0.3,0.426,25,0.04,1
kamil grabara,wolfsburg,Bundesliga,2024-2025,49.7,0.35,+1.7,0.41700000000000004,413,0.036000000000000004,19
peter gulacsi,rb leipzig,Bundesliga,2024-2025,42.6,0.30,+3.6,0.203,434,0.053,34
timo horn,bochum,Bundesliga,2024-2025,18.5,0.35,-3.5,0.608,182,0.033,18
lukas hradecky,leverkusen,Bundesliga,2024-2025,35.8,0.28,+0.8,0.309,296,0.040999999999999995,39
gregor kobel,dortmund,Bundesliga,2024-2025,47.4,0.35,+1.4,0.237,420,0.052000000000000005,47
matej kovar,leverkusen,Bundesliga,2024-2025,3.5,0.22,-0.5,0.214,52,0.038,6
nediljko labrovic,augsburg,Bundesliga,2024-2025,25.9,0.32,-6.1,0.38799999999999996,217,0.055,18
alexander meyer,dortmund,Bundesliga,2024-2025,4.0,0.36,0.0,0.355,24,0.042,2
florian muller,freiburg,Bundesliga,2024-2025,11.6,0.35,-3.4,0.449,104,0.057999999999999996,9
kevin muller,heidenheim,Bundesliga,2024-2025,59.3,0.33,-4.7,0.314,453,0.046,20
marius muller,wolfsburg,Bundesliga,2024-2025,7.6,0.33,+2.6,0.391,99,0.091,3
manuel neuer,bayern munich,Bundesliga,2024-2025,15.0,0.33,0.0,0.2,162,0.037000000000000005,40
moritz nicolas,gladbach,Bundesliga,2024-2025,29.9,0.29,+6.9,0.233,319,0.055999999999999994,14
alexander nubel,stuttgart,Bundesliga,2024-2025,44.8,0.32,-7.2,0.301,415,0.051,57
jonas omlin,gladbach,Bundesliga,2024-2025,23.8,0.31,-2.2,0.349,166,0.018000000000000002,13
daniel peretz,bayern munich,Bundesliga,2024-2025,4.0,0.58,-1.0,0.25,17,0.0,8
luca philipp,hoffenheim,Bundesliga,2024-2025,12.3,0.34,-1.7,0.51,84,0.036000000000000004,4
lasse rie,mainz,Bundesliga,2024-2025,2.2,0.27,+0.2,0.514,23,0.087,8
frederik rnnow,union berlin,Bundesliga,2024-2025,39.3,0.32,+3.3,0.366,483,0.083,35
kaua santos,eint frankfurt,Bundesliga,2024-2025,14.3,0.30,+3.3,0.371,137,0.11699999999999999,18
alexander schwolow,union berlin,Bundesliga,2024-2025,9.7,0.32,-3.3,0.313,85,0.0,4
tobias sippel,gladbach,Bundesliga,2024-2025,1.2,0.30,-1.8,0.455,13,0.0,0
kevin trapp,eint frankfurt,Bundesliga,2024-2025,34.9,0.30,+1.9,0.317,394,0.061,28
sven ulreich,bayern munich,Bundesliga,2024-2025,0.0,,0.0,0.276,7,0.14300000000000002,1
jonas urbig,bayern munich,Bundesliga,2024-2025,10.3,0.38,-1.7,0.262,81,0.062,21
maarten vandevoordt,rb leipzig,Bundesliga,2024-2025,7.3,0.36,-1.7,0.23,78,0.09,11
nikola vasilj,st pauli,Bundesliga,2024-2025,47.4,0.32,+9.4,0.342,411,0.057999999999999996,27
timon weiner,holstein kiel,Bundesliga,2024-2025,47.2,0.32,-11.8,0.402,491,0.055,18
robin zentner,mainz,Bundesliga,2024-2025,45.0,0.29,+4.0,0.462,524,0.086,58
michael zetterer,werder bremen,Bundesliga,2024-2025,52.9,0.33,-1.1,0.27699999999999997,464,0.075,34
dimitry bertaud,montpellier,Ligue-1,2024-2025,8.8,0.35,-2.2,0.384,55,0.145,3
marco bizot,brest,Ligue-1,2024-2025,46.2,0.31,-6.8,0.42,459,0.07200000000000001,53
marcin buka,nice,Ligue-1,2024-2025,43.0,0.26,+3.0,0.228,470,0.083,33
patrik carlgren,nantes,Ligue-1,2024-2025,8.5,0.30,+1.5,0.364,80,0.013000000000000001,1
lucas chevalier,lille,Ligue-1,2024-2025,42.2,0.32,+7.2,0.257,373,0.055999999999999994,24
gregoire coudert,brest,Ligue-1,2024-2025,2.8,0.22,-1.2,0.28300000000000003,30,0.033,3
theo de percin,auxerre,Ligue-1,2024-2025,3.5,0.22,+0.5,0.457,38,0.079,3
remy descamps,lyon,Ligue-1,2024-2025,1.4,0.23,-0.6,0.14300000000000002,7,0.0,0
arthur desmas,le havre,Ligue-1,2024-2025,38.7,0.40,+0.7,0.285,277,0.043,7
yehvann diouf,reims,Ligue-1,2024-2025,61.6,0.33,+14.6,0.344,554,0.055999999999999994,42
alex dominguez,toulouse,Ligue-1,2024-2025,0.0,,0.0,0.25,7,0.0,0
gianluigi donnarumma,paris sg,Ligue-1,2024-2025,21.7,0.29,-3.3,0.136,199,0.05,19
yahia fofana,angers,Ligue-1,2024-2025,63.5,0.34,+12.5,0.386,531,0.09,20
gauthier gallon,rennes,Ligue-1,2024-2025,0.0,,0.0,0.133,2,0.0,1
mathieu gorgelin,le havre,Ligue-1,2024-2025,34.2,0.40,+2.2,0.32899999999999996,269,0.078,8
kjetil haug,toulouse,Ligue-1,2024-2025,6.6,0.45,-0.4,0.379,72,0.069,3
karljohan johnsson,strasbourg,Ligue-1,2024-2025,6.7,0.26,+0.7,0.156,48,0.042,3
herve koffi,lens,Ligue-1,2024-2025,11.1,0.38,+3.1,0.29600000000000004,53,0.075,2
philipp kohn,monaco,Ligue-1,2024-2025,17.2,0.26,-1.8,0.257,225,0.071,20
alban lafont,nantes,Ligue-1,2024-2025,16.8,0.30,-0.2,0.34,200,0.08,6
gautier larsonneur,saintetienne,Ligue-1,2024-2025,73.5,0.30,-1.5,0.38799999999999996,510,0.047,33
benjamin lecomte,montpellier,Ligue-1,2024-2025,57.3,0.31,-5.7,0.425,408,0.049,26
donovan leon,auxerre,Ligue-1,2024-2025,55.8,0.32,+10.8,0.53,518,0.054000000000000006,39
anthony lopes,nantes,Ligue-1,2024-2025,25.6,0.32,+0.6,0.40399999999999997,308,0.052000000000000005,8
radosaw majecki,monaco,Ligue-1,2024-2025,21.1,0.31,-0.9,0.266,154,0.091,18
steve mandanda,rennes,Ligue-1,2024-2025,17.0,0.29,-4.0,0.336,175,0.04,21
lucas perri,lyon,Ligue-1,2024-2025,47.8,0.29,+3.8,0.281,415,0.063,29
ore petrovic,strasbourg,Ligue-1,2024-2025,45.9,0.27,+9.9,0.209,491,0.084,47
guillaume restes,toulouse,Ligue-1,2024-2025,27.9,0.29,-5.1,0.308,360,0.013999999999999999,34
geronimo rulli,marseille,Ligue-1,2024-2025,47.5,0.33,+2.5,0.15,309,0.091,59
mathew ryan,lens,Ligue-1,2024-2025,19.5,0.28,+2.5,0.313,176,0.114,10
matvei safonov,paris sg,Ligue-1,2024-2025,7.2,0.26,-0.8,0.263,94,0.053,14
brice samba,rennes,Ligue-1,2024-2025,29.2,0.32,+2.2,0.244,225,0.071,15
brice samba,lens,Ligue-1,2024-2025,17.5,0.26,+3.5,0.297,152,0.11199999999999999,22
arnau tenas,paris sg,Ligue-1,2024-2025,1.5,0.37,+0.5,0.133,5,0.2,1
melvin zinga,angers,Ligue-1,2024-2025,2.4,0.41,+0.4,0.409,20,0.05,2
