Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
yuri berchiche,Athletic Club,1990.0,30,22,2044,0,2,5,0,43,161,66,2024-2025,laliga
alex berenguer,Athletic Club,1995.0,36,28,2339,6,7,5,0,65,78,216,2024-2025,laliga
marc bernal,Barcelona,2007.0,3,3,242,0,0,2,0,0,8,2,2024-2025,laliga
juan bernat,Villarreal,1993.0,10,1,212,0,1,0,0,4,8,23,2024-2025,laliga
juan bernat,Getafe,1993.0,14,9,699,0,1,0,0,2,14,36,2024-2025,laliga
juan berrocal,Getafe,1999.0,19,11,1063,0,0,8,1,1,25,1,2024-2025,laliga
antonio blanco,Alavés,2000.0,35,32,2727,0,1,11,1,13,146,19,2024-2025,laliga
daley blind,Girona,1990.0,34,31,2780,0,2,2,0,71,272,61,2024-2025,laliga
adama boiro,Athletic Club,2002.0,18,13,1101,0,0,3,0,25,46,36,2024-2025,laliga
enzo boyomo,Osasuna,2001.0,34,33,2987,2,0,5,0,16,111,7,2024-2025,laliga
enzo boyomo,Valladolid,2001.0,3,3,270,0,0,0,0,1,7,0,2024-2025,laliga
darko brasanac,Leganés,1992.0,30,15,1617,1,2,4,0,6,43,53,2024-2025,laliga
tajon buchanan,Villarreal,1999.0,13,4,416,1,2,2,0,19,5,45,2024-2025,laliga
ante budimir,Osasuna,1991.0,38,34,2952,21,4,4,0,23,24,134,2024-2025,laliga
manu bueno,Sevilla,2004.0,9,1,140,1,0,0,0,2,5,5,2024-2025,laliga
endika bujan,Athletic Club,2003.0,1,0,7,0,0,0,0,1,0,0,2024-2025,laliga
pau cabanes,Villarreal,2005.0,10,0,163,1,0,0,0,10,11,33,2024-2025,laliga
pau cabanes,Alavés,2005.0,6,2,188,0,0,1,0,15,5,15,2024-2025,laliga
leandro cabrera,Espanyol,1991.0,33,32,2869,4,2,4,1,9,69,6,2024-2025,laliga
fernando calero,Espanyol,1995.0,21,6,715,1,0,1,0,0,17,2,2024-2025,laliga
eduardo camavinga,Real Madrid,2002.0,19,11,1102,1,2,2,0,26,61,31,2024-2025,laliga
sergio camello,Rayo Vallecano,2001.0,23,14,1134,3,2,2,0,20,27,68,2024-2025,laliga
jose campana,Las Palmas,1993.0,25,15,1189,0,3,5,0,11,87,15,2024-2025,laliga
peio canales,Athletic Club,2005.0,8,2,259,0,0,0,0,6,6,11,2024-2025,laliga
antonio candela,Valladolid,2000.0,12,12,906,0,0,1,0,16,22,29,2024-2025,laliga
sergi canos,Valencia,1997.0,17,2,370,0,1,3,0,7,9,47,2024-2025,laliga
dani cardenas,Rayo Vallecano,1997.0,6,6,540,0,0,0,0,0,0,0,2024-2025,laliga
irvin cardona,Espanyol,1997.0,16,5,606,1,1,1,0,14,15,43,2024-2025,laliga
marc cardona,Las Palmas,1995.0,11,0,132,0,0,2,0,2,3,12,2024-2025,laliga
sergi cardona,Villarreal,1999.0,35,34,2945,1,7,11,0,52,77,198,2024-2025,laliga
johnny cardoso,Betis,2001.0,28,24,2144,3,1,4,0,19,71,28,2024-2025,laliga
jose carlos gonzalez,Las Palmas,2006.0,1,0,11,0,0,0,0,0,0,1,2024-2025,laliga
carmona,Sevilla,2002.0,35,35,2942,0,0,11,0,45,109,57,2024-2025,laliga
sergio carreira,Celta Vigo,2000.0,23,19,1656,0,4,1,0,39,53,140,2024-2025,laliga
dani carvajal,Real Madrid,1992.0,8,7,609,1,0,1,0,13,27,48,2024-2025,laliga
william carvalho,Betis,1992.0,14,6,484,0,0,1,0,5,45,10,2024-2025,laliga
marc casado,Barcelona,2003.0,23,20,1611,1,3,4,1,12,107,24,2024-2025,laliga
catena,Osasuna,1994.0,35,35,3074,1,3,11,0,9,89,4,2024-2025,laliga
maximiliano caufriez,Valencia,1997.0,1,1,90,0,0,0,0,0,1,0,2024-2025,laliga
dani ceballos,Real Madrid,1996.0,23,15,1215,0,0,4,0,42,150,17,2024-2025,laliga
franco cervi,Celta Vigo,1994.0,7,4,273,0,0,1,0,3,14,21,2024-2025,laliga
raul chasco,Valladolid,2003.0,2,1,130,0,0,0,0,1,3,2,2024-2025,laliga
pep chavarria,Rayo Vallecano,1998.0,34,28,2585,0,1,3,0,59,114,133,2024-2025,laliga
walid cheddira,Espanyol,1998.0,22,5,640,1,1,3,0,8,12,34,2024-2025,laliga
chema,Real Madrid,2005.0,2,0,12,0,0,0,0,0,0,0,2024-2025,laliga
julian chicco,Leganés,1998.0,14,2,302,0,1,0,0,8,16,7,2024-2025,laliga
chiquinho,Mallorca,2000.0,8,1,146,0,0,2,0,4,1,12,2024-2025,laliga
andreas christensen,Barcelona,1996.0,5,2,254,0,0,3,0,1,15,1,2024-2025,laliga
jasper cillessen,Las Palmas,1989.0,27,27,2335,0,0,1,0,0,0,0,2024-2025,laliga
pathe ciss,Rayo Vallecano,1994.0,33,25,2140,4,1,12,0,19,128,12,2024-2025,laliga
seydouba cisse,Leganés,2001.0,34,31,2435,3,1,3,1,26,110,42,2024-2025,laliga
silvi clua,Girona,2005.0,4,2,163,0,0,0,0,4,3,3,2024-2025,laliga
eray comert,Valladolid,1998.0,25,21,1779,0,0,6,0,9,48,5,2024-2025,laliga
santi comesana,Villarreal,1996.0,35,30,2560,4,2,7,0,39,154,58,2024-2025,laliga
diego conde,Villarreal,1998.0,22,22,1962,0,1,2,0,0,0,0,2024-2025,laliga
tomas conechny,Alavés,1998.0,22,9,847,1,0,8,0,14,23,61,2024-2025,laliga
copete,Mallorca,1999.0,25,16,1528,0,0,6,0,10,47,2,2024-2025,laliga
iker cordoba,Valencia,2005.0,2,0,15,0,0,0,0,0,1,1,2024-2025,laliga
angel correa,Atlético Madrid,1995.0,31,3,805,4,1,3,1,30,25,85,2024-2025,laliga
thierry correia,Valencia,1999.0,11,9,768,0,0,1,0,16,44,48,2024-2025,laliga
coba da costa,Getafe,2002.0,19,12,1006,1,1,4,0,46,16,83,2024-2025,laliga
logan costa,Villarreal,2001.0,32,28,2587,2,1,3,0,25,116,10,2024-2025,laliga
samu costa,Mallorca,2000.0,32,31,2649,0,2,10,1,24,116,69,2024-2025,laliga
thibaut courtois,Real Madrid,1992.0,30,30,2700,0,0,1,0,0,0,0,2024-2025,laliga
juan cruz armada,Osasuna,1992.0,25,19,1492,0,0,4,0,9,53,12,2024-2025,laliga
juan cruz,Leganés,2000.0,34,26,2257,5,4,2,0,59,66,131,2024-2025,laliga
pau cubarsi,Barcelona,2007.0,35,29,2618,0,3,3,0,26,191,6,2024-2025,laliga
cucho,Betis,1999.0,15,14,1139,5,1,0,0,27,34,82,2024-2025,laliga
arnaut danjuma,Villarreal,1997.0,3,3,200,2,0,1,0,4,1,17,2024-2025,laliga
arnaut danjuma,Girona,1997.0,25,15,1335,2,0,2,0,91,41,185,2024-2025,laliga
sergi darder,Mallorca,1993.0,38,34,2744,2,6,4,0,37,142,83,2024-2025,laliga
rodrigo de paul,Atlético Madrid,1994.0,34,23,2106,3,5,7,0,85,231,64,2024-2025,laliga
mouctar diakhaby,Valencia,1996.0,13,7,653,2,0,0,0,5,14,2,2024-2025,laliga
assane diao,Betis,2005.0,10,2,277,1,2,0,0,9,1,27,2024-2025,laliga
moussa diarra,Alavés,2000.0,26,20,1866,0,0,6,0,12,70,31,2024-2025,laliga
brahim diaz,Real Madrid,1999.0,31,16,1385,4,2,0,0,39,74,110,2024-2025,laliga
daniel diaz,Real Sociedad,2006.0,1,0,10,0,0,0,0,0,0,0,2024-2025,laliga
pedro diaz,Rayo Vallecano,1998.0,26,12,1211,3,0,2,0,27,62,49,2024-2025,laliga
diego,Leganés,2000.0,28,13,1195,3,0,2,0,9,16,49,2024-2025,laliga
stole dimitrievski,Valencia,1993.0,4,4,360,0,0,1,0,0,0,0,2024-2025,laliga
yan diomande,Leganés,2006.0,10,6,545,2,1,1,0,37,16,64,2024-2025,laliga
alvaro djalo,Athletic Club,1999.0,17,7,659,1,0,2,0,22,13,60,2024-2025,laliga
djene,Getafe,1991.0,31,31,2548,0,0,10,1,18,74,21,2024-2025,laliga
marko dmitrovic,Leganés,1992.0,32,32,2880,0,0,0,0,0,1,0,2024-2025,laliga
marc domenech,Mallorca,2006.0,10,3,303,0,0,0,0,1,4,21,2024-2025,laliga
carlos dominguez,Celta Vigo,2001.0,19,13,1181,0,0,1,0,15,66,4,2024-2025,laliga
israel dominguez,Sevilla,2003.0,1,0,18,0,0,0,0,0,0,0,2024-2025,laliga
sergi dominguez,Barcelona,2005.0,3,2,172,0,0,1,0,0,13,1,2024-2025,laliga
anastasios douvikas,Celta Vigo,1999.0,20,6,700,3,1,2,0,6,6,43,2024-2025,laliga
domingos duarte,Getafe,1995.0,22,21,1859,1,0,4,2,3,47,3,2024-2025,laliga
duk,Leganés,2000.0,10,1,179,0,0,1,0,10,3,21,2024-2025,laliga
pablo duran,Celta Vigo,2001.0,27,15,1394,4,4,3,0,24,30,124,2024-2025,laliga
hugo duro,Valencia,1999.0,31,25,2166,11,2,5,0,13,28,88,2024-2025,laliga
chidera ejuke,Sevilla,1998.0,25,9,966,2,1,0,0,75,38,101,2024-2025,laliga
aritz elustondo,Real Sociedad,1994.0,22,16,1457,0,0,2,1,17,51,4,2024-2025,laliga
adri embarba,Rayo Vallecano,1992.0,35,18,1607,1,1,4,0,47,45,114,2024-2025,laliga
endrick,Real Madrid,2006.0,22,3,363,1,0,1,0,12,8,32,2024-2025,laliga
alfonso espino,Rayo Vallecano,1992.0,16,9,833,0,1,4,0,10,39,29,2024-2025,laliga
dario essugo,Las Palmas,2005.0,27,25,1938,1,0,11,2,18,76,8,2024-2025,laliga
etienne etoo,Rayo Vallecano,2002.0,2,0,40,0,0,0,0,0,0,1,2024-2025,laliga
karl etta,Villarreal,2003.0,4,0,37,1,0,0,0,0,0,0,2024-2025,laliga
edu exposito,Espanyol,1996.0,19,12,1045,0,2,3,0,23,64,41,2024-2025,laliga
