Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
giovanni fabbian,Bologna,151,71.9,79.8,79.7,33.3,1.3,0.6,-0.3,15,5,1,2024-2025,serie-a
alieu fadera,Como,441,74.6,87.8,73.1,54.8,4.0,1.9,-1.0,14,24,5,2024-2025,serie-a
nicolo fagioli,Fiorentina,519,84.1,92.0,88.7,57.5,3.0,2.0,-1.0,45,12,2,2024-2025,serie-a
nicolo fagioli,Juventus,370,88.5,92.3,92.3,62.8,0.1,0.5,-0.1,36,8,0,2024-2025,serie-a
wladimiro falcone,Lecce,731,60.9,98.2,98.2,38.2,0.0,0.1,0.0,22,0,0,2024-2025,serie-a
davide faraoni,Hellas Verona,65,68.4,87.2,60.5,46.2,0.1,0.1,-0.1,6,3,3,2024-2025,serie-a
jacopo fazzini,Empoli,305,71.6,86.6,75.7,35.0,0.5,0.7,0.5,27,10,0,2024-2025,serie-a
mattia felici,Cagliari,188,67.9,77.6,75.4,40.0,1.0,0.7,2.0,12,3,0,2024-2025,serie-a
joao felix,Milan,246,81.7,88.5,85.5,59.3,1.2,1.3,-1.2,31,11,0,2024-2025,serie-a
lewis ferguson,Bologna,569,86.5,91.4,91.2,65.2,1.1,0.8,-0.1,57,8,0,2024-2025,serie-a
daniel fila,Venezia,70,77.8,76.6,78.3,66.7,0.3,0.4,-0.3,4,3,0,2024-2025,serie-a
alessandro florenzi,Milan,3,75.0,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
youssouf fofana,Milan,1237,85.7,88.2,90.7,60.3,3.4,2.6,2.6,140,23,2,2024-2025,serie-a
michael folorunsho,Fiorentina,178,70.6,85.6,73.7,50.0,0.6,0.5,-0.6,13,6,2,2024-2025,serie-a
michael folorunsho,Napoli,10,71.4,71.4,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
omari forson,Monza,92,81.4,94.1,89.7,50.0,0.5,0.3,-0.5,7,6,2,2024-2025,serie-a
davide frattesi,Inter,297,82.5,90.2,84.0,81.3,0.8,0.8,0.2,20,5,1,2024-2025,serie-a
morten frendrup,Genoa,1067,85.4,90.5,88.6,61.5,0.9,0.8,-0.9,79,11,0,2024-2025,serie-a
