Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
nico schlotterbeck,Dortmund,1856,89.2,94.8,93.6,67.4,2.1,2.1,1.9,226,10,2,2024-2025,bundesliga
romano schmid,Werder Bremen,1239,74.5,86.9,73.5,54.4,6.2,8.8,-2.2,170,90,24,2024-2025,bundesliga
jan schoppner,Heidenheim,778,74.7,78.8,83.1,57.5,3.4,2.1,-0.4,67,19,3,2024-2025,bundesliga
marvin schulz,Holstein Kiel,128,78.0,89.6,84.5,46.2,0.7,0.5,-0.7,7,3,2,2024-2025,bundesliga
alexander schwolow,Union Berlin,148,71.5,100.0,98.6,39.8,0.0,0.1,0.0,2,2,0,2024-2025,bundesliga
leo scienza,Heidenheim,262,66.3,80.9,67.2,48.1,3.7,4.1,-0.7,30,14,8,2024-2025,bundesliga
nicolas seiwald,RB Leipzig,1115,82.7,92.5,83.9,56.4,1.7,2.7,-1.7,123,27,3,2024-2025,bundesliga
benjamin sesko,RB Leipzig,415,67.6,75.3,65.3,61.9,2.1,1.7,2.9,25,9,0,2024-2025,bundesliga
armindo sieb,Mainz 05,136,69.7,79.4,69.7,42.9,1.1,0.6,0.9,12,8,2,2024-2025,bundesliga
tim siersleben,Heidenheim,581,80.8,88.9,89.6,56.3,0.5,0.6,-0.5,35,8,2,2024-2025,bundesliga
kiliann sildillia,Freiburg,336,73.2,83.5,77.1,60.2,0.7,0.7,-0.7,20,6,4,2024-2025,bundesliga
andre silva,Werder Bremen,82,70.7,81.3,76.5,80.0,0.4,0.6,-0.4,3,6,1,2024-2025,bundesliga
andre silva,RB Leipzig,30,71.4,75.0,88.9,100.0,0.6,0.1,1.4,3,1,0,2024-2025,bundesliga
mohamed simakan,RB Leipzig,42,84.0,78.9,91.3,100.0,0.3,0.2,-0.3,5,2,1,2024-2025,bundesliga
xavi simons,RB Leipzig,944,78.6,87.5,82.1,55.1,6.3,6.0,-0.3,79,60,4,2024-2025,bundesliga
danel sinani,St. Pauli,390,71.4,86.8,77.6,39.0,3.0,2.5,-1.0,45,16,3,2024-2025,bundesliga
tobias sippel,Gladbach,20,58.8,100.0,100.0,44.0,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
ibrahima sissoko,Bochum,804,75.0,83.5,81.0,53.3,1.6,2.7,-0.6,77,16,5,2024-2025,bundesliga
tim skarke,Union Berlin,243,70.0,80.8,70.4,60.9,1.2,1.2,0.8,12,15,9,2024-2025,bundesliga
ellyes skhiri,Eint Frankfurt,1153,88.5,93.2,89.9,65.9,1.4,2.0,0.6,82,18,0,2024-2025,bundesliga
leo skiri stigard,Hoffenheim,484,83.9,90.5,89.5,53.1,0.1,0.3,-0.1,38,3,1,2024-2025,bundesliga
andreas skov olsen,Wolfsburg,217,80.4,85.7,87.6,55.0,1.9,1.3,-0.9,12,10,2,2024-2025,bundesliga
robert skov,Union Berlin,305,65.9,85.0,66.9,43.5,2.4,3.5,-0.4,18,16,5,2024-2025,bundesliga
steven skrzybski,Holstein Kiel,312,70.0,78.3,74.3,50.0,2.9,3.3,0.1,36,16,7,2024-2025,bundesliga
eric smith,St. Pauli,1355,80.8,91.1,87.6,52.7,1.5,2.8,-0.5,118,19,4,2024-2025,bundesliga
anton stach,Hoffenheim,1270,82.6,87.4,88.2,61.0,2.2,3.2,-0.2,120,33,10,2024-2025,bundesliga
jens stage,Werder Bremen,768,77.0,84.8,81.0,55.5,2.8,3.9,2.2,67,26,4,2024-2025,bundesliga
josip stanisic,Bayern Munich,716,91.6,95.8,92.9,72.7,1.5,1.4,0.5,77,12,2,2024-2025,bundesliga
niklas stark,Werder Bremen,1098,85.6,88.3,91.3,62.0,0.1,0.3,0.9,66,3,0,2024-2025,bundesliga
pascal stenzel,Stuttgart,181,83.0,94.9,87.0,59.5,0.6,0.6,-0.6,9,4,2,2024-2025,bundesliga
leonidas stergiou,Stuttgart,440,82.4,91.9,82.7,53.1,0.9,0.7,1.1,30,1,0,2024-2025,bundesliga
finley stevens,St. Pauli,1,50.0,100.0,0.0,,0.0,0.0,0.0,0,0,0,2024-2025,bundesliga
angelo stiller,Stuttgart,2219,87.4,93.7,90.2,61.2,7.2,8.6,0.8,271,50,10,2024-2025,bundesliga
kevin stoger,Gladbach,847,75.8,90.8,76.5,53.5,5.3,4.2,-2.3,90,39,8,2024-2025,bundesliga
niklas sule,Dortmund,870,92.8,95.6,95.2,74.4,0.1,0.4,-0.1,74,0,0,2024-2025,bundesliga
mattias svanberg,Wolfsburg,259,68.7,84.0,72.0,30.4,1.7,1.6,-0.7,36,4,1,2024-2025,bundesliga
