Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
ander guevara,Alavés,762,76.6,81.7,82.3,62.0,0.6,0.6,0.4,95,11,1,2024-2025,laliga
pape gueye,Villarreal,911,79.6,86.9,87.4,59.2,1.1,2.1,-1.1,118,23,2,2024-2025,laliga
hugo guillamon,Valencia,154,81.9,87.2,85.3,56.5,0.0,0.3,0.0,11,4,1,2024-2025,laliga
carlos guirao,Betis,36,78.3,90.5,92.3,60.0,0.0,0.0,0.0,3,0,0,2024-2025,laliga
arda guler,Real Madrid,763,86.1,93.9,88.6,59.8,4.5,4.4,-0.5,82,31,5,2024-2025,laliga
gerard gumbau,Rayo Vallecano,317,75.5,86.9,81.9,45.3,1.3,0.8,-0.3,37,3,1,2024-2025,laliga
jon guridi,Alavés,547,74.2,77.0,80.2,65.3,1.2,1.1,-0.2,55,11,3,2024-2025,laliga
gorka guruzeta,Athletic Club,298,72.5,79.1,74.8,51.6,1.5,0.7,0.5,23,2,0,2024-2025,laliga
miguel gutierrez,Girona,1241,82.6,92.4,85.5,57.1,4.1,4.6,0.9,59,51,27,2024-2025,laliga
munir el haddadi,Leganés,201,75.0,86.3,75.6,16.7,0.8,0.5,-0.8,19,6,1,2024-2025,laliga
sebastien haller,Leganés,54,60.0,70.0,54.2,50.0,0.2,0.2,-0.2,4,0,0,2024-2025,laliga
henrique,Valladolid,169,85.8,94.2,90.8,47.1,0.0,0.0,0.0,13,0,0,2024-2025,laliga
javi hernandez,Leganés,797,75.2,85.8,78.9,33.9,1.5,1.4,-0.5,54,11,4,2024-2025,laliga
aridane hernandez,Rayo Vallecano,463,87.9,92.7,91.5,64.1,0.0,0.1,0.0,18,0,0,2024-2025,laliga
jorge herrando,Osasuna,625,85.4,92.8,91.4,47.1,0.0,0.1,0.0,29,0,0,2024-2025,laliga
ander herrera,Athletic Club,181,90.5,93.1,89.0,76.9,0.1,0.3,-0.1,25,1,0,2024-2025,laliga
sergio herrera,Osasuna,871,69.9,99.0,98.0,51.5,0.0,0.1,0.0,29,0,0,2024-2025,laliga
yangel herrera,Girona,868,81.3,89.4,85.5,55.0,1.5,1.3,1.5,97,13,3,2024-2025,laliga
juan herzog,Las Palmas,559,86.4,91.3,92.3,58.0,0.0,0.0,0.0,17,0,0,2024-2025,laliga
omar el hilali,Espanyol,1245,78.9,89.1,84.2,52.9,0.8,1.4,1.2,81,11,6,2024-2025,laliga
roger hinojo,Espanyol,5,50.0,80.0,100.0,0.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
dinko horkas,Las Palmas,397,75.6,100.0,98.2,46.9,0.0,0.0,0.0,12,0,0,2024-2025,laliga
pablo ibanez,Osasuna,384,74.9,80.5,78.5,62.8,1.6,0.4,-0.6,35,4,2,2024-2025,laliga
stanis idumbo,Sevilla,63,82.9,87.2,92.3,62.5,0.7,0.1,0.3,2,1,0,2024-2025,laliga
iglesias,Getafe,686,57.1,76.1,62.1,31.8,2.2,1.8,-1.2,84,24,14,2024-2025,laliga
borja iglesias,Celta Vigo,346,70.8,78.1,78.2,62.5,3.2,1.4,-0.2,20,9,0,2024-2025,laliga
kelechi iheanacho,Sevilla,60,75.0,81.8,60.0,80.0,0.3,0.2,-0.3,1,1,0,2024-2025,laliga
isco,Betis,957,81.6,90.8,85.9,59.9,4.4,3.9,3.6,120,31,5,2024-2025,laliga
diego iturralde,Sevilla,5,71.4,100.0,50.0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
ivan jaime pajuelo,Valencia,80,75.5,88.7,80.0,37.5,0.3,0.3,-0.3,5,8,1,2024-2025,laliga
