goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
19,4,0,60,41.67,15,35.71,23,47.92,16,6,76.46,75,40.32,2134,21,18,32,32,0,0,0,35,3,0,0,0,0,224,6,445,25,2,11.76,9,42.86,4,0,9,14,72,44,11,26.39,2,22,17.5,0,0,0,Wissam Ben Yedder,AS Monaco,119192,1653
1,3,0,89,49.44,35,58.33,7,50.0,44,2,88.84,124,51.67,2045,38,28,17,30,0,0,0,29,2,0,0,0,0,415,13,1695,33,11,29.73,137,80.12,24,21,41,2,30,9,9,3.33,2,0,1.75,0,1,1,Corentin Tolisso,Olympique Lyonnais,343067,1649
2,1,0,90,48.39,10,37.04,32,54.24,46,9,75.77,100,46.95,2601,12,25,16,34,0,0,0,21,6,0,0,0,0,337,14,860,50,30,27.27,46,45.54,31,38,29,3,48,12,12,4.17,2,3,4.22,0,2,1,Jonathan Clauss,Olympique de Marseille,821728,1641
4,4,0,92,53.18,20,43.48,12,70.59,56,3,87.86,112,51.14,2863,24,35,13,38,0,0,0,26,5,0,0,0,0,531,8,1802,37,24,28.92,145,69.05,36,40,28,2,31,10,7,12.9,1,2,3.87,0,2,1,Jordan Veretout,Olympique de Marseille,151124,1641
0,0,0,4,50.0,1,100.0,1,33.33,3,0,82.14,5,55.56,90,0,0,2,1,0,0,0,1,0,0,0,0,0,15,1,23,1,1,100.0,0,0.0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nathan N'Goumou,Toulouse,962409,1681
7,2,0,131,51.17,22,57.89,59,59.6,28,5,89.27,153,52.04,3078,44,22,42,35,0,0,0,21,4,0,0,0,0,411,6,1573,36,15,27.78,73,73.74,19,13,24,6,84,24,13,8.33,6,3,9.26,0,0,0,Seko Fofana,RC Lens,191188,1648
1,7,0,112,60.54,48,51.61,12,50.0,62,3,90.16,160,57.55,2830,39,31,9,33,0,0,0,23,4,0,0,0,0,320,3,1861,13,6,40.0,102,63.35,38,82,22,1,5,1,1,20.0,0,0,0.81,0,0,0,Jonathan Gradit,RC Lens,369650,1648
3,1,0,13,56.52,6,26.09,4,100.0,4,1,67.95,19,41.3,296,5,6,1,7,0,0,0,2,0,0,0,0,0,26,0,53,3,0,0.0,3,100.0,3,6,3,4,16,7,2,18.75,0,0,2.43,0,0,0,Luis Javier Suárez,Olympique de Marseille,914213,1641
0,4,1,84,60.87,117,74.05,9,75.0,48,2,84.3,201,67.91,2996,28,30,6,34,0,0,0,39,8,0,0,0,0,99,2,1482,4,0,0.0,122,50.62,50,151,17,2,13,7,3,0.0,0,1,1.21,0,0,0,Rasmus Nicolaisen,Toulouse,798124,1681
4,3,1,87,45.31,13,27.66,12,33.33,51,6,72.56,100,41.84,1996,24,23,23,33,0,0,0,19,4,0,0,0,0,220,9,603,44,38,27.34,53,51.96,24,11,37,1,53,21,14,7.55,0,2,3.89,0,0,0,Alexis Flips,Stade de Reims,879672,1682
4,3,0,124,46.27,3,25.0,79,54.86,14,6,81.02,127,45.36,1876,32,16,49,34,0,0,0,20,2,0,0,0,0,374,14,794,68,32,35.16,52,65.82,5,1,15,4,61,21,19,6.56,2,4,4.94,0,0,1,Rayan Cherki,Olympique Lyonnais,979128,1649
18,3,0,92,47.67,32,30.19,45,62.5,20,3,78.47,124,41.47,2728,27,30,33,34,0,0,0,37,3,0,0,0,0,142,2,339,36,1,25.0,6,85.71,5,13,12,16,79,39,8,22.78,3,9,15.41,0,0,0,Terem Moffi,Nice,894396,1661
0,0,0,1,100.0,3,100.0,1,100.0,0,0,52.63,4,100.0,1530,0,1,0,17,56,41,14,17,3,13,3,5,5,23,0,280,1,0,0.0,137,35.49,0,8,0,0,0,0,0,0.0,0,0,0.0,1,1,0,Ionuț Radu,Auxerre,815202,1646
