goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,2,0,25,41.67,5,25.0,6,50.0,9,0,71.94,30,37.5,535,10,10,9,9,0,0,0,4,0,0,0,0,0,55,3,141,8,3,15.0,9,50.0,1,3,11,3,12,3,6,0.0,0,0,1.39,0,0,0,Yéremy Pino,Crystal Palace,984624,7
0,0,0,29,53.7,7,43.75,4,50.0,24,0,90.82,36,51.43,548,1,7,9,10,0,0,0,8,2,0,0,0,0,56,0,178,9,8,30.77,5,83.33,5,8,5,2,10,2,3,0.0,1,1,1.03,0,0,0,Jhon Arias,Wolverhampton,844096,3
1,0,0,39,46.43,5,41.67,6,28.57,20,0,86.97,44,45.83,872,13,11,6,11,0,0,0,8,4,0,0,0,0,65,0,387,9,5,26.32,17,62.96,13,9,13,0,20,6,6,5.0,0,0,1.01,0,1,1,Yasin Ayari,Brighton & Hove Albion,1036269,30
0,2,0,44,53.66,15,51.72,11,57.89,23,1,84.41,59,53.15,963,10,14,8,11,0,0,0,14,2,0,0,0,0,120,1,379,8,10,21.28,14,41.18,9,42,8,0,5,0,1,0.0,0,0,0.17,0,0,0,Adrien Truffert,Bournemouth,999028,60
1,2,0,33,48.53,28,49.12,5,62.5,20,1,60.96,61,48.8,802,9,16,8,11,0,0,0,13,5,0,0,0,0,37,1,89,3,3,23.08,5,50.0,6,29,8,0,12,5,2,8.33,1,4,1.42,0,0,0,Marshall Munetsi,Wolverhampton,894733,3
0,1,0,34,44.16,5,41.67,8,40.0,23,1,80.97,39,43.82,873,3,16,5,11,0,0,0,14,1,0,0,0,0,55,0,302,8,1,33.33,21,48.84,6,10,10,0,6,3,2,0.0,0,0,0.28,0,0,1,Yehor Yarmolyuk,Brentford,1031258,50
0,0,0,3,50.0,2,50.0,1,50.0,0,0,55.56,5,50.0,30,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0.0,0,0.0,0,1,1,0,0,0,0,0.0,0,0,,0,0,0,Kai Havertz,Arsenal,836705,42
0,0,0,1,50.0,0,0.0,1,100.0,0,0,100.0,1,50.0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Mateo Kovačić,Manchester City,136710,17
0,0,0,3,100.0,2,66.67,0,0.0,3,0,72.73,5,83.33,45,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,8,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Antoni Milambo,Brentford,1126692,50
0,0,0,1,50.0,4,80.0,1,100.0,0,0,20.0,5,71.43,15,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Ashley Barnes,Burnley,27028,6
