goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,0,0,10,66.67,6,66.67,1,50.0,7,1,86.81,16,66.67,200,2,2,1,3,0,0,0,2,0,0,0,0,0,14,0,79,1,0,0.0,7,70.0,0,2,1,0,4,0,1,0.0,0,1,,0,0,0,Saúl Ñíguez,Atlético Madrid,116955,2836
0,0,0,0,0.0,1,100.0,0,0.0,0,0,56.99,1,100.0,270,0,0,0,3,10,8,2,5,0,2,3,3,3,5,0,53,0,0,0.0,17,29.82,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,Mathew Ryan,Real Sociedad,134029,2824
2,0,0,5,31.25,3,33.33,2,66.67,1,1,81.48,8,32.0,237,2,5,5,4,0,0,0,3,1,0,0,0,0,15,2,44,2,0,0.0,1,100.0,1,1,0,1,7,3,3,28.57,0,2,,0,0,0,Martin Braithwaite,Barcelona,66471,2817
1,8,1,43,56.58,80,64.52,6,100.0,22,0,89.98,123,61.5,2096,15,30,3,27,0,0,0,15,4,0,0,0,0,134,1,1509,5,0,0.0,118,62.43,34,85,3,1,19,3,5,5.26,3,1,,0,1,0,Gerard Piqué,Barcelona,770,2817
5,7,0,92,45.54,11,29.73,29,50.88,24,7,85.01,103,43.1,2803,39,19,41,34,0,0,0,27,4,0,0,0,0,551,8,1520,65,15,22.39,105,62.87,10,11,25,2,54,25,14,9.26,1,11,,0,0,0,Sergio Canales,Real Betis,41560,2816
0,1,0,10,58.82,11,73.33,2,50.0,7,0,86.6,21,65.63,345,1,4,0,5,0,0,0,2,0,0,0,0,0,6,0,181,1,0,0.0,7,35.0,6,15,1,0,0,0,0,0.0,0,0,,0,0,0,Jesús Vallejo,Real Madrid,355048,2829
2,2,0,34,62.96,38,65.52,1,50.0,21,1,77.67,72,64.29,1596,12,11,3,19,0,0,0,12,5,0,0,0,0,48,0,494,4,0,0.0,70,51.85,39,85,6,1,6,3,0,33.33,0,1,,0,0,0,Gabriel Paulista,Valencia,124737,2828
3,2,1,56,58.33,80,64.52,2,50.0,35,0,87.62,136,61.82,2959,19,33,2,34,0,0,0,21,6,0,0,0,0,109,1,1911,4,1,33.33,192,53.48,24,119,8,1,30,10,4,10.0,0,1,,2,3,0,Diego Carlos,Sevilla,604232,2833
17,5,2,119,48.77,35,48.61,50,69.44,15,3,83.89,154,48.73,2924,55,35,60,34,0,0,0,43,1,0,0,0,0,240,2,604,25,5,22.73,61,72.62,6,38,11,13,106,45,20,16.04,7,31,,0,1,0,Raúl de Tomás,Espanyol,138387,2814
1,10,0,142,57.96,22,40.74,44,66.67,50,3,84.18,164,54.85,2264,48,38,27,31,0,0,0,9,4,0,0,0,0,308,4,1304,43,46,25.84,114,55.61,14,20,17,2,16,6,6,6.25,0,0,,0,1,0,Marcos Acuña,Sevilla,578560,2833
6,5,0,160,51.95,9,39.13,88,64.71,34,6,80.63,169,51.06,2589,39,30,52,34,0,0,0,28,6,0,0,0,0,349,10,824,54,42,31.58,25,42.37,19,12,25,3,50,12,17,12.0,3,13,,0,2,0,Yannick Carrasco,Atlético Madrid,182001,2836
5,5,0,73,71.57,58,59.79,25,89.29,32,1,85.75,131,65.83,2856,16,14,5,33,0,0,0,30,3,0,0,0,0,219,4,1697,9,1,20.0,139,49.64,19,103,7,3,24,9,4,20.83,1,0,,1,1,0,Pau Torres,Villarreal,864169,2819
1,2,0,90,60.0,3,33.33,26,65.0,22,1,83.82,93,58.49,997,42,16,17,16,0,0,0,10,0,0,0,0,0,175,3,430,17,3,20.0,25,83.33,5,3,13,1,18,6,5,5.56,0,3,,0,0,0,Giovani Lo Celso,Villarreal,798835,2819
2,4,1,82,51.25,15,55.56,29,65.91,28,4,88.09,97,51.87,1732,25,23,28,25,0,0,0,9,2,0,0,0,0,366,8,895,40,14,46.67,27,71.05,7,12,17,1,21,6,5,9.52,1,3,,0,0,1,David Silva,Real Sociedad,11781,2824
4,5,0,82,48.24,38,55.88,8,38.1,40,6,85.86,120,50.42,2185,35,36,12,35,0,0,0,14,5,0,0,0,0,322,4,1336,42,29,34.94,117,63.93,23,34,27,1,31,12,6,12.9,0,0,,0,0,1,Ivan Rakitić,Sevilla,7635,2833
3,7,2,54,57.45,72,59.5,2,100.0,28,0,79.21,126,58.6,2344,27,33,3,27,0,0,0,17,1,0,0,0,0,92,1,945,4,3,27.27,121,45.32,39,137,9,2,27,9,8,11.11,0,2,,0,0,0,Iñigo Martínez,Athletic Club,173883,2825
11,3,0,159,50.32,16,35.56,64,51.61,21,6,68.48,175,48.48,2620,74,37,46,36,0,0,0,34,8,0,0,0,0,281,7,504,43,32,29.09,36,52.94,9,1,20,5,69,28,19,15.94,2,5,,0,0,0,Gonçalo Guedes,Valencia,280979,2828
3,5,1,120,63.49,26,61.9,51,85.0,35,3,91.33,146,63.2,2486,35,24,28,32,0,0,0,26,4,0,0,0,0,450,3,1496,43,5,16.13,75,83.33,20,15,11,6,17,8,0,17.65,2,6,,0,0,0,Frenkie de Jong,Barcelona,795222,2817
3,7,0,138,54.98,18,45.0,25,65.79,55,1,81.92,156,53.61,2154,59,44,31,36,0,0,0,20,4,0,0,0,0,314,7,1056,51,33,35.87,102,57.3,21,13,30,0,24,9,7,12.5,0,1,,0,2,2,Rodrigo de Paul,Atlético Madrid,249399,2836
1,1,0,63,57.8,14,50.0,10,55.56,42,3,87.3,77,56.2,1549,11,19,9,24,0,0,0,11,2,0,0,0,0,242,4,880,25,9,22.5,43,67.19,20,33,11,1,10,2,2,10.0,0,0,,0,2,0,Daniel Carvajal,Real Madrid,138572,2829
10,2,0,59,49.58,0,0.0,27,67.5,12,0,87.66,59,46.09,1739,20,8,25,31,0,0,0,11,2,0,0,0,0,334,1,703,32,13,18.31,28,71.79,12,6,14,6,64,34,17,15.63,0,2,,0,1,1,Marco Asensio,Real Madrid,361004,2829
0,0,0,25,73.53,3,42.86,9,90.0,8,2,85.75,28,68.29,524,8,3,1,12,0,0,0,0,0,0,0,0,0,121,1,343,9,6,20.69,14,45.16,1,10,5,1,8,3,3,0.0,0,0,,0,0,0,Marcelo,Real Madrid,17787,2829
3,4,0,150,61.22,31,50.82,28,73.68,59,3,83.6,181,59.15,2785,64,26,23,34,0,0,0,40,5,0,0,0,0,320,9,1106,42,42,31.82,91,54.17,25,30,39,1,22,6,7,13.64,1,1,,0,0,0,Luis Milla,Granada,811629,33779
4,6,0,59,62.11,60,70.59,6,75.0,41,0,90.17,119,66.11,2283,12,25,6,30,0,0,0,25,4,0,0,0,0,107,2,1449,8,3,42.86,85,51.52,23,59,4,0,18,10,3,22.22,1,1,,0,1,0,Ronald Araújo,Barcelona,925097,2817
0,1,0,0,0.0,1,100.0,0,0.0,0,0,80.71,1,100.0,540,0,0,0,6,15,9,5,4,1,4,5,1,5,7,0,159,0,0,0.0,27,41.54,0,4,0,0,0,0,0,0.0,0,0,,1,0,0,Marko Dmitrović,Sevilla,94527,2833
1,7,0,70,59.83,109,61.58,1,33.33,49,1,88.02,179,60.88,3330,22,37,3,37,0,0,0,32,5,0,0,0,0,101,1,1895,5,0,0.0,127,56.7,48,118,8,3,18,5,5,5.56,2,2,,0,0,0,Robin Le Normand,Real Sociedad,787751,2824
1,3,0,52,69.33,21,72.41,8,72.73,25,2,79.31,73,70.19,1023,19,7,7,14,0,0,0,9,1,0,0,0,0,109,2,391,7,4,12.12,23,50.0,13,19,7,0,8,3,3,12.5,0,0,,0,0,0,Yuri Berchiche,Athletic Club,84531,2825
